kind,task,machine_selectable,process_time
0,0,"(4, 6, 10, 12, 8, 14, 0, 11, 1, 2, 18, 5, 3, 16, 17, 13, 15, 7, 9)","(5, 3, 5, 2, 10, 5, 12, 18, 10, 19, 10, 15, 17, 5, 9, 13, 7, 2, 8)"
0,1,"(1, 19)","(4, 11)"
0,2,"(18, 19, 11, 17, 5, 16, 12, 7, 3, 9, 2, 8, 6, 10, 14, 0, 15, 1)","(19, 4, 18, 2, 4, 6, 19, 1, 17, 1, 8, 2, 5, 4, 5, 5, 5, 9)"
0,3,"(16, 11, 15)","(8, 16, 14)"
0,4,"(5, 1, 7, 11, 4, 17, 8, 15, 2, 9)","(20, 19, 4, 1, 19, 4, 11, 18, 12, 18)"
0,5,"(11, 0, 3, 10)","(2, 12, 2, 17)"
0,6,"(16, 13, 10, 0, 17, 6, 4, 14, 9, 15, 2, 8)","(6, 6, 14, 13, 13, 17, 12, 9, 19, 17, 20, 11)"
0,7,"(4, 0, 7, 14, 17, 11, 8, 6, 9, 19, 10, 16, 5, 3, 13)","(20, 9, 1, 9, 7, 12, 12, 19, 10, 14, 11, 2, 5, 5, 10)"
0,8,"(5, 6, 12, 7, 11, 0, 3, 4, 1, 10, 2)","(5, 2, 14, 20, 8, 13, 3, 19, 4, 19, 8)"
0,9,"(11, 1, 7, 2, 16)","(12, 18, 15, 9, 15)"
1,0,"(5, 9)","(6, 18)"
1,1,"(19, 0, 16, 12, 15, 9, 17)","(5, 16, 19, 15, 16, 7, 5)"
1,2,"(5, 10, 6, 11, 17, 8, 12, 15, 18, 9, 19, 3, 13, 2, 0, 4, 1)","(13, 17, 15, 7, 5, 12, 10, 9, 7, 12, 8, 12, 11, 11, 18, 8, 8)"
1,3,"(2, 19, 4, 9, 13, 8, 17, 15, 7, 18, 12, 11)","(19, 17, 3, 10, 13, 1, 17, 14, 3, 20, 20, 8)"
1,4,"(8, 17, 11, 4, 13, 5, 10, 19, 9, 6)","(10, 15, 6, 9, 12, 15, 9, 2, 2, 10)"
1,5,"(6, 17, 16, 14, 3, 7, 10, 13, 15, 9, 2, 1, 18)","(4, 17, 8, 13, 4, 15, 1, 3, 9, 17, 7, 12, 12)"
1,6,"(12, 19, 14, 8, 1, 3, 2, 11, 15, 6, 17, 9, 4, 18, 16, 10)","(17, 11, 10, 13, 9, 9, 9, 4, 16, 5, 10, 2, 17, 18, 19, 3)"
2,0,"(6, 11, 7)","(20, 17, 17)"
2,1,"(13, 17, 19, 5, 16, 15, 11, 9, 7, 3, 2, 12, 6, 0, 4, 10, 14, 18, 8, 1)","(8, 5, 4, 5, 15, 10, 14, 5, 12, 14, 8, 9, 13, 18, 7, 9, 2, 7, 1, 7)"
2,2,"(15, 10, 12, 11)","(13, 1, 4, 16)"
2,3,"(14, 10, 12, 0, 3, 5, 7, 1, 2, 11, 6, 4, 17, 16)","(1, 12, 3, 5, 16, 3, 2, 15, 18, 10, 13, 5, 3, 14)"
2,4,"(15, 18)","(1, 10)"
3,0,"(9, 1, 19, 17, 12, 14, 16, 6, 10, 2, 8, 15, 7, 0, 3, 11, 5)","(20, 10, 17, 12, 11, 3, 16, 19, 13, 8, 19, 5, 5, 5, 15, 13, 4)"
3,1,"(19, 5, 6, 16, 17, 0, 11, 15, 4, 18, 1, 2, 14, 12, 13, 8)","(14, 1, 7, 10, 12, 16, 19, 16, 20, 11, 2, 7, 8, 4, 5, 8)"
3,2,"(10, 3, 17, 8, 16, 5, 11)","(8, 3, 17, 18, 1, 2, 13)"
3,3,"(14, 7, 0, 1, 12, 3)","(16, 10, 20, 4, 18, 1)"
3,4,"(18, 7, 14, 10, 15, 3, 11, 0, 8, 2, 9, 16, 12, 17, 5, 6, 4)","(17, 7, 15, 8, 17, 16, 9, 2, 15, 17, 4, 1, 9, 16, 7, 7, 20)"
3,5,"(6, 0, 2, 8, 4, 7, 15, 9, 11, 16, 19, 1, 13, 5, 12)","(3, 17, 20, 7, 15, 14, 8, 7, 2, 3, 14, 16, 10, 18, 15)"
3,6,"(5, 0, 1, 10, 12, 15, 4)","(16, 4, 18, 18, 7, 4, 11)"
3,7,"(3, 0)","(17, 1)"
4,0,"(17, 13, 18, 2, 14)","(18, 9, 3, 5, 14)"
4,1,"(9, 16, 17, 6, 5, 12, 7, 18, 11, 13)","(14, 6, 14, 17, 1, 4, 11, 3, 17, 8)"
4,2,"(10, 12, 0, 19, 16, 11, 6, 3, 5, 2, 18, 14, 17, 4)","(10, 14, 8, 9, 10, 8, 10, 16, 13, 10, 18, 7, 10, 13)"
4,3,"(2, 11, 0, 18, 5, 12, 15, 7, 14, 19, 13, 10, 6)","(17, 14, 20, 15, 6, 17, 15, 14, 8, 18, 16, 19, 9)"
4,4,"(15, 1, 8, 17, 10, 0, 5, 7)","(7, 15, 13, 15, 7, 3, 4, 2)"
4,5,"(14, 1, 6, 8, 13, 10, 3, 19, 12)","(3, 1, 9, 4, 3, 11, 9, 20, 3)"
4,6,"(11, 3, 8, 18, 1, 6, 19, 15, 0)","(15, 10, 7, 6, 9, 4, 17, 16, 5)"
4,7,"(18, 15, 1, 12, 3, 5, 4, 17, 10, 0, 8, 13, 19, 16, 7, 6, 14, 9, 2)","(3, 17, 8, 9, 4, 18, 9, 16, 12, 15, 8, 6, 14, 5, 11, 6, 3, 15, 5)"
4,8,"(2, 13, 10, 14, 17, 9, 1, 15, 0, 8, 6, 4, 12, 18, 3, 11, 5)","(16, 20, 10, 13, 17, 1, 2, 1, 5, 20, 10, 8, 7, 7, 4, 2, 18)"
4,9,"(15, 3, 0, 8)","(15, 8, 19, 3)"
