kind,task,machine_selectable,process_time,power
0,0,"(1, 3, 2, 8)","(7, 2, 11, 17)","(199, 20, 22, 200)"
0,1,"(8, 6, 9)","(8, 11, 8)","(46, 75, 138)"
0,2,"(9, 7, 6)","(15, 15, 4)","(84, 14, 35)"
0,3,"(9, 7, 6, 2, 8)","(6, 7, 10, 18, 5)","(61, 114, 19, 69, 143)"
0,4,"(9, 7)","(20, 7)","(41, 86)"
0,5,"(1, 2, 7, 0, 9, 6, 5, 8)","(16, 9, 6, 16, 4, 6, 3, 20)","(170, 83, 132, 36, 182, 198, 168, 87)"
0,6,"(4, 0, 3, 9)","(5, 2, 1, 9)","(112, 98, 78, 173)"
0,7,"(3, 7, 8, 4)","(19, 1, 9, 17)","(20, 67, 97, 196)"
0,8,"(9, 4, 8, 6, 2, 5, 7, 0)","(11, 18, 4, 14, 1, 4, 12, 19)","(114, 57, 192, 179, 179, 158, 132, 167)"
0,9,"(3, 4, 7)","(9, 3, 20)","(141, 105, 191)"
1,0,"(7, 6, 2, 0, 9, 5, 3)","(6, 11, 12, 15, 1, 19, 4)","(132, 154, 178, 46, 140, 187, 195)"
1,1,"(8, 4, 0, 6, 7, 9)","(10, 20, 18, 19, 20, 6)","(36, 48, 66, 36, 167, 180)"
1,2,"(7, 2, 4, 8, 6, 5, 0, 3)","(18, 16, 3, 10, 5, 19, 10, 5)","(79, 136, 100, 129, 81, 191, 78, 82)"
1,3,"(9, 8, 7, 6, 5, 1)","(11, 13, 1, 13, 4, 3)","(158, 45, 77, 187, 183, 152)"
1,4,"(7, 9, 3, 1, 6, 2, 8, 0, 5)","(9, 13, 4, 18, 2, 15, 19, 14, 19)","(66, 52, 181, 101, 129, 25, 192, 34, 88)"
1,5,"(5,)","(9,)","(22,)"
1,6,"(5,)","(5,)","(153,)"
1,7,"(0, 1, 8, 5)","(14, 3, 10, 15)","(165, 61, 77, 32)"
2,0,"(7, 1, 8)","(12, 1, 18)","(18, 73, 84)"
2,1,"(0, 2)","(15, 19)","(144, 138)"
2,2,"(1, 2, 7)","(8, 17, 6)","(26, 15, 175)"
2,3,"(9, 1, 3, 2, 6, 7, 8)","(16, 14, 13, 7, 17, 16, 7)","(174, 195, 186, 105, 41, 134, 66)"
2,4,"(9, 6, 4, 2)","(9, 20, 15, 13)","(112, 136, 96, 140)"
2,5,"(7, 3, 5, 4, 6, 1, 9, 0, 2, 8)","(3, 8, 17, 9, 9, 17, 9, 7, 18, 19)","(116, 102, 56, 136, 150, 64, 158, 150, 42, 165)"
3,0,"(2, 7, 0, 8, 4, 5, 3, 1, 6, 9)","(15, 13, 14, 3, 16, 16, 1, 17, 9, 15)","(115, 119, 179, 155, 197, 60, 171, 42, 175, 126)"
3,1,"(1, 4, 2, 8, 6)","(9, 18, 20, 16, 6)","(175, 97, 176, 132, 121)"
3,2,"(5, 9, 6, 1)","(15, 12, 5, 15)","(55, 10, 191, 52)"
3,3,"(6, 9)","(17, 3)","(63, 100)"
3,4,"(1, 9, 6, 4, 7, 8, 0, 5, 3, 2)","(11, 19, 11, 20, 8, 20, 5, 16, 6, 16)","(71, 185, 118, 49, 37, 111, 169, 56, 58, 168)"
3,5,"(8, 2, 0, 5)","(12, 4, 12, 12)","(42, 195, 66, 196)"
3,6,"(9, 4, 6, 8, 5, 1, 0, 2)","(20, 8, 4, 12, 10, 1, 3, 8)","(140, 31, 158, 121, 48, 149, 146, 128)"
3,7,"(2, 5, 4, 7, 0, 1, 3, 8, 6)","(14, 16, 6, 11, 20, 7, 4, 3, 8)","(56, 137, 144, 147, 165, 197, 162, 79, 106)"
3,8,"(9, 1, 0, 5, 4)","(7, 17, 2, 20, 20)","(101, 93, 150, 94, 198)"
4,0,"(0, 9, 1, 5)","(4, 14, 8, 18)","(132, 103, 169, 102)"
4,1,"(2, 6, 0, 7, 5, 8, 9, 3)","(18, 16, 7, 10, 5, 3, 16, 18)","(93, 182, 137, 77, 197, 128, 18, 62)"
4,2,"(5, 4, 9)","(20, 16, 15)","(75, 168, 94)"
4,3,"(3, 2, 1, 5, 4, 0, 8, 7, 9)","(1, 3, 2, 14, 12, 19, 9, 17, 7)","(108, 59, 82, 161, 150, 37, 159, 20, 74)"
4,4,"(4, 9, 5, 1)","(17, 12, 7, 11)","(65, 162, 88, 156)"
4,5,"(2, 6, 1, 0)","(19, 8, 5, 7)","(75, 88, 160, 104)"
4,6,"(6, 2, 4, 5, 0, 1, 3, 8, 9, 7)","(5, 8, 11, 5, 19, 5, 2, 10, 2, 9)","(65, 29, 146, 73, 157, 174, 37, 43, 88, 136)"
4,7,"(2, 1, 9, 6)","(1, 19, 7, 10)","(23, 126, 144, 61)"
4,8,"(2, 3, 1, 6, 0, 9, 4, 8, 7, 5)","(4, 2, 8, 12, 17, 17, 6, 13, 9, 3)","(155, 134, 176, 182, 123, 190, 192, 174, 48, 122)"
4,9,"(9, 2, 5, 6, 8, 7, 1)","(1, 7, 10, 5, 3, 17, 13)","(148, 179, 179, 98, 12, 80, 135)"
