kind,task,machine_selectable,process_time,power
0,0,"(0,)","(5,)","(55,)"
0,1,"(9, 7)","(8, 19)","(174, 38)"
0,2,"(4, 3, 9, 1, 8, 7, 2, 5, 6)","(11, 14, 3, 18, 8, 5, 7, 19, 12)","(86, 30, 81, 181, 10, 170, 54, 149, 181)"
0,3,"(6, 1, 9, 8, 3)","(7, 20, 17, 20, 10)","(190, 14, 162, 135, 182)"
0,4,"(4, 0, 8, 3, 2, 5, 6, 9, 7)","(1, 9, 1, 4, 20, 7, 19, 1, 19)","(96, 128, 21, 127, 152, 126, 134, 140, 50)"
0,5,"(3, 0, 1, 7, 5, 4, 6, 9)","(20, 7, 18, 11, 2, 16, 5, 19)","(134, 195, 32, 199, 144, 25, 184, 93)"
0,6,"(4,)","(3,)","(41,)"
0,7,"(8, 4, 5, 2, 0, 7, 6, 1, 9, 3)","(1, 8, 1, 7, 8, 19, 5, 10, 20, 2)","(117, 76, 111, 191, 89, 44, 182, 15, 59, 157)"
0,8,"(3, 5, 0, 7, 9)","(7, 12, 12, 5, 13)","(85, 37, 189, 200, 52)"
0,9,"(3, 4, 7, 1, 6, 2)","(6, 17, 3, 13, 2, 15)","(163, 25, 52, 183, 154, 142)"
1,0,"(5, 2, 1, 6, 4, 7, 0, 8)","(3, 7, 3, 9, 7, 11, 4, 9)","(101, 14, 102, 153, 156, 162, 63, 79)"
1,1,"(3, 6, 1, 9, 5)","(5, 7, 7, 1, 11)","(128, 200, 149, 126, 174)"
1,2,"(7,)","(6,)","(60,)"
1,3,"(9, 0, 6, 7, 3, 5, 1)","(3, 4, 7, 6, 13, 14, 10)","(21, 73, 196, 99, 140, 37, 118)"
1,4,"(5, 2, 9, 8, 7, 4, 6, 3, 0, 1)","(1, 20, 7, 17, 3, 10, 14, 19, 6, 12)","(60, 117, 48, 19, 13, 63, 37, 129, 88, 53)"
1,5,"(2, 5, 7, 9, 3)","(14, 15, 7, 3, 9)","(178, 109, 42, 42, 29)"
1,6,"(5, 6, 7, 3)","(4, 8, 19, 1)","(79, 75, 103, 94)"
1,7,"(7, 8, 1, 3, 5, 9, 2, 4)","(17, 18, 13, 2, 8, 3, 6, 17)","(12, 14, 129, 156, 171, 198, 79, 93)"
1,8,"(4, 1, 8, 2, 9, 0, 3, 5, 7, 6)","(7, 7, 6, 11, 6, 11, 14, 14, 11, 6)","(104, 96, 80, 23, 145, 86, 119, 95, 12, 41)"
2,0,"(7, 9, 1, 2, 0)","(10, 13, 13, 2, 20)","(180, 174, 163, 70, 15)"
2,1,"(8,)","(13,)","(109,)"
2,2,"(9, 8, 5, 0)","(5, 14, 12, 8)","(160, 183, 53, 176)"
2,3,"(4, 7, 5, 6, 1, 0, 9)","(2, 15, 4, 4, 10, 7, 16)","(118, 190, 43, 48, 63, 77, 37)"
2,4,"(1, 6, 4, 8, 5, 9)","(19, 14, 9, 6, 3, 11)","(168, 165, 77, 126, 17, 18)"
2,5,"(1, 0, 8, 3, 6, 9, 2, 5, 7)","(4, 6, 11, 13, 17, 1, 16, 7, 16)","(194, 118, 186, 177, 133, 125, 180, 185, 116)"
2,6,"(7, 5, 4, 6, 2, 0, 3)","(14, 10, 4, 16, 1, 10, 14)","(141, 165, 148, 161, 167, 116, 164)"
3,0,"(9, 7, 5, 6, 2)","(18, 5, 9, 19, 11)","(24, 35, 117, 104, 15)"
3,1,"(4, 3, 8, 1)","(10, 11, 10, 4)","(169, 139, 197, 31)"
3,2,"(4, 7, 5, 6)","(8, 12, 14, 17)","(180, 126, 157, 31)"
3,3,"(6, 1, 2, 7, 5)","(10, 16, 8, 18, 9)","(92, 10, 142, 179, 39)"
3,4,"(0, 7, 2, 3, 6, 5)","(18, 4, 20, 10, 3, 8)","(77, 33, 121, 62, 120, 199)"
3,5,"(7, 4, 6, 5, 3, 9, 8, 1)","(10, 14, 10, 8, 18, 17, 20, 9)","(12, 137, 122, 166, 137, 73, 63, 15)"
4,0,"(7, 6)","(8, 3)","(136, 83)"
4,1,"(1, 3, 7, 5, 0, 4, 2, 9)","(18, 12, 20, 14, 16, 5, 6, 19)","(88, 93, 33, 173, 40, 166, 111, 61)"
4,2,"(9, 2)","(1, 1)","(65, 135)"
4,3,"(6, 0, 1, 8, 2, 5, 4)","(3, 5, 6, 15, 4, 10, 11)","(16, 170, 167, 101, 26, 63, 135)"
4,4,"(9, 0, 6, 8, 1, 5, 4, 2, 3, 7)","(3, 16, 1, 1, 9, 20, 16, 4, 4, 4)","(158, 171, 59, 169, 148, 145, 150, 159, 27, 18)"
4,5,"(2, 7, 6, 3, 4, 0)","(19, 2, 7, 14, 14, 15)","(53, 66, 187, 144, 86, 82)"
4,6,"(4, 2, 3, 7)","(20, 16, 9, 10)","(74, 68, 60, 100)"
