kind,task,machine_selectable,process_time,power
0,0,"(7, 1, 2, 8, 5, 9)","(1, 20, 19, 4, 5, 4)","(24, 171, 191, 32, 30, 114)"
0,1,"(2, 9, 3, 5)","(18, 12, 7, 14)","(17, 169, 197, 60)"
0,2,"(5,)","(13,)","(25,)"
0,3,"(6, 9, 1, 0, 2, 3, 8, 4, 5, 7)","(11, 20, 11, 3, 5, 9, 19, 12, 18, 7)","(153, 87, 72, 95, 75, 143, 60, 102, 108, 71)"
0,4,"(4, 0, 9, 6, 3, 1, 2, 8)","(10, 1, 6, 13, 19, 9, 17, 8)","(185, 129, 46, 156, 157, 108, 22, 118)"
0,5,"(5, 9, 8, 6, 3, 1)","(16, 16, 6, 1, 4, 20)","(138, 65, 57, 181, 197, 170)"
1,0,"(4, 7, 8, 0)","(8, 16, 8, 19)","(166, 106, 21, 75)"
1,1,"(1, 8, 6)","(17, 16, 7)","(150, 183, 67)"
1,2,"(6, 0, 9, 3, 5, 2, 1)","(14, 16, 10, 14, 14, 4, 2)","(139, 140, 73, 164, 189, 160, 23)"
1,3,"(3,)","(3,)","(150,)"
1,4,"(5, 3, 8, 2, 4)","(2, 20, 11, 2, 14)","(22, 24, 47, 51, 48)"
1,5,"(1, 2)","(15, 6)","(77, 150)"
1,6,"(0,)","(16,)","(121,)"
1,7,"(6, 5, 9, 2, 0, 4, 1, 8, 7)","(11, 12, 1, 5, 11, 20, 14, 1, 12)","(108, 136, 172, 129, 141, 21, 148, 145, 64)"
2,0,"(5, 8, 7, 2, 0)","(17, 1, 5, 9, 12)","(186, 170, 77, 103, 165)"
2,1,"(6, 3, 4, 5, 7)","(4, 2, 18, 12, 17)","(145, 90, 178, 23, 142)"
2,2,"(9,)","(2,)","(31,)"
2,3,"(2, 3, 8, 7, 1, 4)","(3, 18, 11, 12, 3, 1)","(41, 170, 173, 85, 12, 115)"
2,4,"(1,)","(17,)","(97,)"
2,5,"(6, 3, 7, 2, 9, 5, 0, 1, 4, 8)","(14, 1, 12, 8, 9, 18, 17, 7, 14, 7)","(62, 114, 149, 174, 196, 59, 118, 148, 175, 30)"
3,0,"(1, 3, 6, 0, 2, 5, 4, 8, 7)","(20, 13, 13, 8, 9, 7, 14, 16, 19)","(31, 168, 43, 24, 58, 99, 78, 160, 198)"
3,1,"(4, 9, 0, 1, 8, 5)","(5, 6, 19, 13, 15, 3)","(175, 194, 49, 64, 44, 123)"
3,2,"(7, 2, 8, 5, 9, 1, 6)","(1, 18, 17, 18, 2, 15, 11)","(198, 30, 193, 129, 165, 192, 151)"
3,3,"(5, 8, 6, 4, 3, 2, 0)","(17, 14, 9, 9, 14, 3, 20)","(41, 89, 125, 65, 20, 134, 35)"
3,4,"(5, 7, 6, 1, 2, 0)","(4, 4, 8, 18, 1, 10)","(80, 94, 199, 162, 138, 193)"
3,5,"(2, 5, 6, 1, 0, 4, 9, 7, 3, 8)","(20, 2, 18, 2, 19, 19, 5, 3, 20, 14)","(126, 144, 163, 10, 11, 128, 133, 30, 173, 143)"
3,6,"(3, 6)","(12, 12)","(154, 24)"
4,0,"(8, 0, 3, 5, 1)","(15, 20, 5, 19, 12)","(12, 55, 96, 96, 172)"
4,1,"(3, 1, 6, 4, 2, 0)","(4, 17, 3, 17, 8, 1)","(199, 79, 183, 36, 50, 12)"
4,2,"(0, 6, 7, 9, 4, 5, 2, 8, 3)","(20, 18, 16, 19, 10, 17, 10, 9, 1)","(77, 121, 164, 47, 161, 173, 113, 182, 25)"
4,3,"(1, 2, 3, 7, 4, 5, 6, 9, 0)","(20, 5, 16, 9, 16, 10, 16, 7, 6)","(12, 117, 122, 42, 70, 129, 123, 60, 159)"
4,4,"(0, 4, 1)","(8, 12, 8)","(116, 156, 180)"
4,5,"(7, 1, 3, 0, 8)","(18, 3, 5, 1, 5)","(39, 156, 95, 16, 85)"
4,6,"(2, 8, 3, 1, 0, 4, 6, 5)","(9, 2, 12, 5, 20, 1, 1, 19)","(170, 34, 52, 29, 90, 96, 126, 70)"
4,7,"(0, 7)","(18, 15)","(195, 57)"
4,8,"(0, 5, 3, 7, 4, 2, 1, 8, 9)","(5, 15, 19, 13, 10, 20, 11, 6, 4)","(176, 182, 150, 100, 82, 126, 130, 151, 166)"
4,9,"(1, 2, 5, 7, 6, 0)","(2, 16, 5, 1, 10, 17)","(77, 70, 91, 115, 191, 120)"
5,0,"(1, 5, 2, 9, 0, 7)","(10, 6, 12, 16, 3, 20)","(124, 105, 136, 113, 22, 112)"
5,1,"(3, 1, 0, 6, 2, 4)","(5, 4, 1, 7, 11, 6)","(72, 123, 70, 177, 30, 105)"
5,2,"(3, 9, 7)","(16, 2, 12)","(51, 20, 168)"
5,3,"(9, 7)","(7, 7)","(137, 57)"
5,4,"(4, 9)","(19, 14)","(83, 76)"
5,5,"(7, 0, 1, 5, 8, 3)","(13, 9, 13, 1, 13, 12)","(46, 122, 16, 158, 66, 174)"
5,6,"(4, 7, 5)","(5, 15, 9)","(119, 27, 116)"
