kind,task,machine_selectable,process_time
0,0,"(6, 3, 18, 19, 9, 7, 16, 1)","(4, 14, 18, 16, 6, 5, 2, 11)"
0,1,"(0, 13, 12, 4, 7, 17)","(4, 7, 8, 1, 5, 6)"
0,2,"(12, 8, 17, 1, 5, 4, 6, 3, 11, 16, 2, 15, 7, 14, 10, 18, 13, 19, 0)","(7, 20, 14, 11, 7, 8, 18, 20, 4, 17, 9, 1, 6, 20, 4, 12, 5, 12, 14)"
0,3,"(2, 7, 3, 15, 11, 10, 17, 5, 18, 19, 8, 13)","(3, 3, 6, 20, 9, 4, 17, 1, 1, 6, 15, 4)"
0,4,"(4, 7, 12, 17, 8, 13, 6, 11, 10, 0, 14, 18, 2, 15, 16, 3, 1, 9, 19)","(19, 16, 13, 20, 18, 6, 3, 8, 2, 4, 17, 15, 6, 3, 7, 1, 8, 17, 10)"
0,5,"(13, 16, 17, 7, 4, 18, 5, 0, 9, 14, 19, 1, 6, 12, 2, 3, 15, 11)","(12, 20, 15, 2, 15, 18, 18, 11, 8, 7, 7, 5, 16, 13, 13, 13, 1, 18)"
0,6,"(0, 5, 18, 7, 12, 6, 15, 13, 14, 19, 2, 17, 1)","(20, 19, 13, 14, 9, 11, 11, 15, 14, 18, 20, 7, 20)"
0,7,"(2, 16, 15, 12, 14)","(15, 11, 19, 20, 2)"
1,0,"(6, 11, 12, 13, 17, 4, 0, 19)","(5, 2, 11, 17, 12, 11, 2, 8)"
1,1,"(8, 10, 3, 16, 17, 18, 13, 14, 7, 1, 2, 11, 12, 9)","(3, 20, 1, 15, 11, 6, 1, 18, 11, 4, 2, 4, 2, 3)"
1,2,"(10, 15, 13, 8, 3, 1, 19, 0, 4, 14, 5, 9, 7, 11, 6, 18, 2)","(16, 14, 15, 5, 13, 3, 2, 13, 12, 7, 9, 4, 10, 3, 16, 8, 2)"
1,3,"(15, 9)","(7, 8)"
1,4,"(6, 18, 16, 3, 17, 8, 19, 13)","(5, 3, 16, 3, 14, 3, 13, 4)"
1,5,"(7, 13, 14, 4, 9)","(17, 4, 10, 7, 6)"
1,6,"(14, 1, 16, 13, 7, 12, 10, 3, 15)","(1, 2, 3, 4, 1, 11, 20, 17, 14)"
1,7,"(2, 6, 9, 1, 7, 17, 13, 4, 5, 12, 11, 15)","(12, 5, 17, 7, 13, 14, 14, 17, 15, 2, 3, 4)"
1,8,"(2, 7)","(4, 17)"
2,0,"(19, 13, 15, 9, 12)","(2, 5, 13, 12, 12)"
2,1,"(5, 15, 2, 18, 4, 19, 7, 14, 17, 8, 9)","(7, 3, 10, 13, 1, 18, 4, 4, 1, 1, 10)"
2,2,"(18, 3, 10, 16, 14)","(3, 18, 13, 9, 5)"
2,3,"(19, 7, 18, 12, 0, 14, 8, 2, 15, 1, 5, 3, 13, 17, 4, 9, 16, 10)","(9, 14, 7, 14, 15, 4, 19, 7, 13, 20, 8, 8, 6, 15, 2, 5, 10, 19)"
2,4,"(15, 6, 13, 12, 8, 4, 7, 18, 5)","(7, 5, 7, 8, 12, 13, 1, 20, 13)"
2,5,"(7, 2, 0, 12, 4, 19, 14, 9, 1, 18, 3, 6, 11, 10, 17, 13, 16, 8, 15, 5)","(9, 9, 19, 4, 2, 4, 4, 14, 4, 1, 12, 16, 16, 13, 17, 4, 17, 1, 8, 4)"
2,6,"(16, 1, 2)","(13, 20, 8)"
2,7,"(8, 3, 14, 2, 1, 17, 18, 5, 16, 11)","(13, 18, 19, 4, 1, 6, 14, 20, 10, 18)"
2,8,"(5, 14, 7, 19, 9, 15)","(6, 7, 9, 2, 17, 6)"
3,0,"(13,)","(8,)"
3,1,"(18, 19, 12)","(4, 4, 3)"
3,2,"(19, 5, 2, 8, 17, 9, 10, 13, 11, 12, 15, 14, 16, 3, 7, 6, 18)","(5, 8, 14, 7, 1, 11, 16, 1, 7, 19, 18, 4, 17, 11, 3, 15, 7)"
3,3,"(19, 8, 4, 13, 15, 0)","(12, 15, 17, 10, 17, 6)"
3,4,"(9, 5, 13, 4)","(7, 18, 8, 20)"
3,5,"(18, 6, 12, 14, 7, 2, 15, 0, 11, 4, 16, 17, 10, 13, 1, 19, 5, 9, 8, 3)","(14, 2, 19, 11, 18, 13, 9, 16, 2, 13, 15, 6, 2, 14, 2, 16, 19, 15, 19, 17)"
3,6,"(17, 9, 12, 19, 4, 1, 5, 16)","(5, 12, 7, 19, 13, 4, 10, 5)"
3,7,"(5,)","(3,)"
3,8,"(10, 7, 4, 5, 1)","(17, 8, 15, 10, 8)"
3,9,"(5, 13, 9, 8, 12, 14, 16, 2, 7, 18, 4, 3, 15)","(5, 1, 3, 9, 18, 18, 12, 15, 20, 11, 6, 20, 17)"
4,0,"(18, 9, 5, 6, 10, 17, 14, 4, 3, 13, 16, 8, 2)","(9, 13, 3, 2, 11, 2, 20, 4, 8, 6, 14, 19, 2)"
4,1,"(14, 13, 19, 17, 16, 12, 7, 6)","(3, 3, 19, 15, 17, 5, 10, 2)"
4,2,"(5,)","(18,)"
4,3,"(5, 16, 15, 3, 11, 4, 17, 9, 1, 2, 12, 8, 7, 13, 6, 10, 19)","(2, 19, 7, 12, 18, 11, 10, 1, 15, 8, 9, 14, 16, 8, 1, 7, 19)"
4,4,"(5, 7, 2)","(9, 4, 5)"
4,5,"(2, 5, 4, 19, 14, 0, 3, 17, 1, 16, 8, 9, 15, 10)","(10, 15, 13, 20, 15, 18, 6, 13, 5, 4, 5, 15, 12, 12)"
5,0,"(1, 19)","(19, 7)"
5,1,"(7, 17, 10)","(6, 14, 13)"
5,2,"(14, 18, 9, 7, 3, 1, 2, 15, 0, 11, 5, 8, 4, 13, 6, 10, 17, 12)","(19, 5, 16, 11, 7, 20, 18, 4, 16, 8, 6, 10, 13, 18, 13, 13, 2, 20)"
5,3,"(17, 6, 13, 0, 19, 1, 9, 7, 15, 2, 10, 12, 16)","(13, 6, 2, 5, 2, 2, 10, 11, 2, 13, 17, 19, 14)"
5,4,"(16, 6, 17, 0, 2, 10, 14, 4, 9, 19, 11, 5, 3, 13, 7, 15, 8, 1, 18)","(16, 18, 13, 11, 17, 19, 16, 2, 9, 7, 20, 5, 5, 17, 5, 6, 20, 12, 6)"
6,0,"(9,)","(18,)"
6,1,"(12, 14, 18, 13, 2, 11, 15, 7, 0, 5, 10, 16, 6, 9, 19, 8, 3, 4, 17, 1)","(6, 2, 3, 10, 18, 15, 19, 4, 10, 13, 18, 11, 8, 9, 15, 17, 16, 16, 11, 7)"
6,2,"(1, 10, 14, 12, 16, 17, 3, 9, 7, 6, 18)","(16, 20, 15, 18, 8, 19, 5, 13, 3, 15, 3)"
6,3,"(3, 6, 17, 14, 1, 9, 10, 13, 0, 18)","(9, 20, 15, 8, 6, 1, 6, 12, 15, 15)"
6,4,"(12, 1, 0)","(12, 4, 19)"
6,5,"(2, 9, 10, 16, 7, 14, 13, 4, 8, 15, 1, 19, 11, 12, 6, 0, 5, 3)","(4, 13, 11, 13, 20, 2, 18, 3, 19, 19, 2, 6, 18, 17, 12, 20, 5, 18)"
7,0,"(1, 0, 11, 8, 16, 17, 3, 9, 19, 13, 12, 15, 6, 7, 4, 14, 10)","(16, 14, 20, 5, 11, 13, 6, 9, 11, 16, 1, 16, 14, 12, 15, 17, 19)"
7,1,"(9, 1, 5, 18, 19, 14)","(6, 17, 11, 10, 17, 6)"
7,2,"(15, 2, 6, 7)","(15, 14, 14, 3)"
7,3,"(12, 15, 13, 8, 6)","(20, 19, 16, 17, 18)"
7,4,"(3, 6, 17, 2, 4, 14, 18, 7, 15, 10, 19, 0, 11)","(4, 4, 16, 13, 7, 2, 10, 2, 13, 1, 2, 2, 2)"
