kind,task,machine_selectable,process_time
0,0,"(5, 6, 12, 8, 14, 4, 13)","(17, 15, 14, 20, 15, 15, 8)"
0,1,"(9, 10, 1, 8, 11, 13, 12, 2, 0, 5, 4, 14, 7, 6, 3)","(5, 13, 13, 19, 3, 16, 18, 9, 12, 11, 12, 19, 10, 6, 1)"
0,2,"(5,)","(14,)"
0,3,"(13, 0, 2, 14, 11, 3, 10)","(5, 20, 8, 12, 12, 10, 12)"
0,4,"(14, 10, 3, 11, 9, 2, 6, 12, 1, 0)","(2, 14, 20, 5, 11, 3, 7, 11, 11, 5)"
1,0,"(1, 0, 6, 11, 8, 3, 4, 12, 9, 5, 10, 14, 2, 13, 7)","(18, 17, 20, 3, 12, 18, 14, 13, 14, 8, 19, 3, 13, 7, 20)"
1,1,"(0, 8, 7, 5, 12, 9, 3, 14, 11, 2)","(8, 12, 19, 20, 15, 12, 9, 8, 9, 12)"
1,2,"(12, 2, 10, 13, 7, 11, 4, 6, 3, 0, 1, 14)","(20, 10, 19, 20, 4, 6, 7, 7, 9, 11, 10, 16)"
1,3,"(1, 4, 11, 13, 9, 8, 2, 14)","(6, 3, 10, 4, 17, 20, 6, 20)"
1,4,"(8, 5, 9, 3)","(20, 11, 4, 19)"
1,5,"(13, 8, 5, 7, 0, 1, 12, 14, 11, 3)","(10, 12, 16, 6, 3, 19, 16, 8, 1, 10)"
2,0,"(5, 2, 9, 8, 6)","(14, 3, 9, 15, 19)"
2,1,"(5, 10, 11, 8, 2)","(10, 9, 3, 7, 18)"
2,2,"(3, 5, 12, 10, 11)","(11, 1, 4, 16, 7)"
2,3,"(14, 12)","(15, 11)"
2,4,"(8, 2, 14, 5, 10, 3, 7, 11)","(1, 20, 7, 14, 13, 12, 9, 20)"
2,5,"(12, 1, 3, 10, 11, 9, 5, 7)","(19, 4, 1, 20, 12, 14, 3, 17)"
3,0,"(12, 14, 11, 2, 3, 8, 4, 5, 10, 9, 6)","(12, 16, 4, 9, 3, 8, 2, 15, 3, 3, 14)"
3,1,"(3,)","(12,)"
3,2,"(10, 13, 11, 8, 3)","(20, 1, 16, 10, 7)"
3,3,"(12, 2)","(2, 1)"
3,4,"(10, 1, 9, 11, 3, 12, 5, 6, 13, 0, 8, 7)","(5, 17, 17, 14, 4, 20, 10, 20, 17, 2, 5, 19)"
3,5,"(13, 8)","(1, 12)"
4,0,"(14, 11, 12, 2, 13, 5, 10, 7, 3)","(18, 16, 10, 15, 19, 1, 17, 16, 17)"
4,1,"(12, 3, 8, 0, 13, 7, 9)","(8, 18, 7, 20, 5, 7, 9)"
4,2,"(13, 0, 11, 14, 3, 1, 8, 7, 4, 5, 9, 12)","(1, 4, 6, 13, 17, 5, 10, 5, 14, 20, 4, 20)"
4,3,"(3, 12, 10, 11, 0, 8, 2, 9, 4, 6, 5, 7, 14, 13, 1)","(9, 1, 13, 12, 9, 10, 7, 18, 7, 11, 1, 20, 1, 15, 7)"
4,4,"(6, 12, 4, 8, 1, 9)","(8, 19, 16, 13, 3, 11)"
4,5,"(6, 3, 13, 10, 2, 5, 0, 12, 1)","(16, 4, 15, 14, 9, 9, 3, 7, 7)"
4,6,"(2, 4, 9, 0, 5, 7)","(13, 10, 6, 5, 7, 15)"
4,7,"(2, 1, 9, 6, 11, 14, 7, 3, 5, 12, 0, 13, 10)","(12, 15, 20, 14, 6, 18, 11, 14, 4, 10, 11, 5, 14)"
5,0,"(1, 7, 10, 8, 4)","(7, 5, 16, 3, 15)"
5,1,"(12, 1, 6, 0, 9, 8, 14, 13, 4, 3, 10, 7)","(11, 13, 17, 7, 14, 5, 8, 17, 4, 4, 16, 4)"
5,2,"(8, 9)","(9, 19)"
5,3,"(3, 4)","(16, 12)"
5,4,"(12,)","(17,)"
5,5,"(6, 3, 10, 8, 11, 4, 0, 14, 2, 13, 5, 1, 12, 7)","(2, 11, 16, 20, 20, 6, 13, 15, 17, 13, 8, 4, 2, 19)"
5,6,"(3, 8)","(13, 5)"
6,0,"(9, 7, 3, 5, 8, 11, 2, 14, 4, 12, 6, 10)","(13, 17, 13, 18, 12, 10, 7, 20, 9, 13, 8, 7)"
6,1,"(4, 5, 14, 11, 8, 2, 6, 7, 1, 0, 3, 10, 12)","(17, 15, 19, 11, 9, 19, 18, 18, 7, 19, 10, 17, 18)"
6,2,"(1, 3, 14, 0, 8, 12, 10, 13, 6, 5, 11, 4, 2, 7, 9)","(18, 15, 1, 4, 6, 4, 16, 10, 5, 19, 6, 2, 8, 11, 1)"
6,3,"(4,)","(2,)"
