kind,task,machine_selectable,process_time
0,0,"(12, 7, 1, 17, 14, 13, 6, 2, 0, 16, 9, 5, 4, 10, 15)","(5, 16, 16, 5, 5, 11, 6, 16, 12, 19, 9, 5, 19, 9, 6)"
0,1,"(8, 0, 1, 16, 17, 13, 3, 11, 19, 12, 9, 7, 2, 10, 5, 18, 4)","(18, 16, 5, 10, 19, 7, 1, 18, 1, 4, 1, 19, 4, 13, 9, 9, 9)"
0,2,"(17, 18, 9, 15, 6, 12, 0, 13, 11, 19, 16, 14, 8, 10, 4)","(18, 7, 19, 5, 9, 10, 16, 19, 4, 3, 11, 10, 12, 16, 12)"
0,3,"(19, 1, 7, 6, 15, 8, 11, 13)","(9, 9, 6, 3, 1, 1, 2, 17)"
0,4,"(8,)","(5,)"
0,5,"(8, 7, 18, 2, 11, 4)","(6, 6, 18, 20, 14, 11)"
0,6,"(12, 19, 2, 10)","(1, 12, 13, 17)"
0,7,"(0, 7, 17, 9, 18, 13, 12, 14, 2, 3, 15)","(5, 15, 4, 7, 4, 2, 7, 15, 17, 13, 13)"
1,0,"(4, 13, 19, 0, 15, 17, 9, 5, 3, 11, 6, 12, 18, 8, 2, 7)","(10, 10, 14, 16, 19, 7, 8, 14, 9, 16, 8, 18, 13, 5, 8, 1)"
1,1,"(6, 3, 15, 19, 0, 5, 4, 17, 8, 11, 14, 9, 2, 10, 7, 1, 12, 13, 18)","(1, 14, 11, 8, 14, 9, 18, 10, 13, 16, 9, 18, 11, 7, 9, 4, 1, 8, 17)"
1,2,"(9, 11, 12, 3, 7, 2, 15, 16, 0, 5, 6, 14)","(13, 18, 4, 3, 14, 5, 14, 16, 6, 9, 12, 8)"
1,3,"(19, 8, 17, 9, 0, 1, 12, 7, 14, 6, 16, 11, 5, 15, 10, 3, 13)","(15, 4, 14, 2, 6, 12, 20, 20, 18, 20, 2, 10, 6, 5, 14, 2, 19)"
1,4,"(2, 19, 6, 13, 3, 17, 8)","(6, 18, 17, 4, 18, 16, 11)"
1,5,"(18, 12, 6, 8, 14, 4, 0, 19, 16)","(2, 3, 6, 4, 14, 5, 17, 14, 14)"
1,6,"(1, 13, 9, 6, 3, 19, 7, 10, 0, 2, 8, 18, 15, 4, 11, 17, 14, 5, 16)","(7, 4, 20, 5, 8, 4, 13, 20, 17, 17, 10, 13, 15, 5, 8, 14, 14, 11, 8)"
2,0,"(18, 17, 8, 0, 7, 1, 14, 10, 4, 13)","(3, 13, 12, 2, 17, 3, 9, 12, 9, 17)"
2,1,"(19, 12, 14, 3, 1, 7, 8)","(5, 5, 4, 16, 10, 19, 20)"
2,2,"(9, 17, 8, 18, 4, 5, 11, 15, 13, 16, 14)","(2, 13, 2, 9, 2, 18, 17, 14, 8, 1, 1)"
2,3,"(8, 7, 17, 12, 14, 6, 10, 2, 5)","(3, 13, 2, 4, 7, 15, 3, 3, 2)"
2,4,"(17, 9, 1, 15, 6, 11, 3, 5, 10)","(14, 15, 1, 15, 5, 13, 2, 13, 13)"
2,5,"(12, 17, 13)","(8, 14, 19)"
2,6,"(16, 12, 6, 0, 19, 9, 11, 3, 5, 15, 4, 18, 10, 17)","(4, 4, 1, 8, 18, 12, 1, 3, 16, 10, 6, 14, 1, 9)"
3,0,"(6,)","(3,)"
3,1,"(1, 16, 7, 0, 11, 4, 9, 19, 2, 18, 13, 8, 15, 12, 5, 17, 3, 6)","(7, 15, 18, 2, 5, 18, 10, 15, 16, 10, 16, 12, 6, 2, 13, 3, 16, 18)"
3,2,"(8, 4, 15, 1, 0, 10, 3, 18, 7, 11, 13, 9, 14)","(16, 1, 17, 1, 15, 16, 10, 11, 3, 20, 10, 9, 8)"
