kind,task,machine_selectable,process_time
0,0,"(9, 8, 7, 5, 10, 3, 13, 0, 12, 2, 4, 11)","(20, 4, 13, 3, 9, 10, 18, 15, 14, 7, 13, 7)"
0,1,"(2, 12, 11, 8, 9, 14, 7)","(4, 3, 1, 2, 11, 10, 11)"
0,2,"(1, 11, 3, 13, 8, 9, 4)","(15, 20, 3, 13, 5, 4, 16)"
0,3,"(3, 7, 2, 0, 10)","(14, 15, 16, 19, 5)"
0,4,"(12, 11, 1, 14, 0, 9, 8, 6)","(20, 16, 19, 12, 12, 20, 6, 10)"
1,0,"(10, 5, 2, 6, 11, 14, 13, 3, 8, 9, 1, 0, 4)","(18, 18, 14, 18, 3, 8, 20, 11, 20, 5, 3, 9, 8)"
1,1,"(10, 9)","(6, 7)"
1,2,"(8, 0, 11, 7, 4, 9, 10, 3, 5, 12, 1, 14, 6, 13)","(11, 12, 18, 8, 20, 16, 14, 5, 18, 18, 11, 12, 1, 1)"
1,3,"(4, 2, 11, 7)","(14, 16, 8, 13)"
1,4,"(1, 11, 2, 4, 13, 7, 0, 3, 9)","(7, 19, 19, 13, 4, 18, 8, 15, 6)"
1,5,"(0, 3, 4, 14, 13, 8, 10)","(19, 16, 16, 6, 8, 11, 15)"
1,6,"(6, 7, 2, 5, 0, 11, 13, 9, 8, 14)","(17, 3, 7, 7, 17, 13, 12, 16, 8, 14)"
1,7,"(1,)","(10,)"
1,8,"(3, 0, 9, 8, 14, 13, 6, 2, 10)","(11, 19, 9, 8, 1, 10, 5, 3, 19)"
1,9,"(12, 1, 10, 7, 3, 8, 6, 0, 2, 9, 4)","(4, 20, 1, 1, 9, 13, 11, 5, 5, 15, 4)"
2,0,"(1, 12, 7, 2, 14, 9, 10, 4)","(7, 15, 15, 3, 14, 9, 4, 13)"
2,1,"(8, 7, 5, 9, 0, 13, 6)","(9, 20, 11, 8, 7, 19, 5)"
2,2,"(4, 13, 12, 3, 10, 1)","(17, 4, 5, 16, 8, 15)"
2,3,"(10, 0, 12)","(7, 13, 5)"
2,4,"(2, 13, 5, 1, 6)","(10, 1, 14, 17, 4)"
2,5,"(11, 10, 0, 9, 13, 3, 5, 14, 1, 6, 4)","(7, 18, 9, 12, 17, 10, 3, 18, 11, 3, 19)"
2,6,"(6, 7, 1, 8, 11, 14, 12, 10, 0, 13)","(14, 5, 2, 13, 4, 14, 12, 14, 17, 5)"
2,7,"(10, 4, 3, 12, 6, 2, 9, 14)","(12, 16, 8, 20, 3, 3, 5, 15)"
2,8,"(3, 12, 13, 9, 7, 0, 4)","(18, 7, 11, 18, 2, 10, 17)"
3,0,"(13, 3, 7, 11)","(10, 6, 6, 7)"
