kind,task,machine_selectable,process_time
0,0,"(12, 7, 11, 14, 8, 19, 16, 4, 13)","(13, 12, 13, 18, 11, 8, 5, 13, 20)"
0,1,"(2, 14, 0, 9, 19, 8, 15, 3, 11, 7)","(17, 11, 1, 3, 14, 4, 8, 13, 19, 12)"
0,2,"(4, 10, 6, 12)","(17, 8, 7, 16)"
0,3,"(6,)","(12,)"
0,4,"(13, 16, 0, 5, 18, 9, 3, 19, 7, 11, 6, 2, 4, 8, 15, 1, 14, 17)","(9, 4, 17, 7, 8, 20, 2, 3, 2, 3, 3, 9, 13, 3, 2, 1, 20, 7)"
0,5,"(10, 14, 0, 9, 17, 15, 12, 5, 4, 11, 8, 7, 19, 1, 18, 16, 3, 2, 13)","(4, 13, 14, 10, 18, 10, 17, 7, 12, 14, 19, 17, 8, 17, 1, 18, 13, 14, 17)"
0,6,"(1, 4, 17, 13, 3, 16, 10, 7, 2, 0, 15, 6, 14)","(20, 8, 12, 20, 4, 11, 10, 15, 2, 4, 20, 20, 16)"
0,7,"(10, 5, 13, 3, 14, 15, 7, 16, 4, 6, 1, 2, 9)","(2, 4, 12, 3, 2, 19, 9, 15, 1, 15, 14, 19, 9)"
1,0,"(18, 17, 1, 7, 6, 10, 12, 2, 15, 0, 3)","(19, 12, 10, 19, 18, 16, 11, 5, 14, 16, 4)"
1,1,"(3, 5)","(12, 15)"
1,2,"(4, 11, 10, 18, 3, 2, 14, 1, 16, 12, 7)","(10, 9, 18, 3, 7, 19, 2, 18, 15, 18, 7)"
1,3,"(2, 16, 14, 9, 6, 17, 7, 5, 18, 1, 11, 10, 12, 0, 4, 8, 15, 3, 13)","(19, 8, 9, 14, 10, 4, 5, 18, 14, 5, 14, 19, 10, 2, 17, 8, 8, 13, 15)"
1,4,"(17, 7, 0, 18, 4, 11, 10, 3, 13, 9, 1, 6, 5, 14)","(19, 6, 7, 7, 6, 19, 7, 2, 12, 15, 16, 5, 10, 18)"
1,5,"(3, 4, 18)","(11, 12, 9)"
1,6,"(13, 8, 18, 16, 14, 1, 15, 6, 5, 10, 3, 2, 11)","(9, 19, 2, 9, 17, 11, 8, 11, 9, 9, 10, 10, 15)"
1,7,"(4, 3, 0, 14, 15, 9, 17, 12, 5, 13, 11, 1, 6, 16, 10, 2, 8, 7)","(3, 8, 19, 4, 14, 8, 4, 17, 15, 8, 13, 20, 2, 1, 20, 13, 17, 15)"
2,0,"(4, 14, 9, 11, 12, 8, 17, 2, 7, 10)","(11, 20, 5, 6, 7, 15, 17, 15, 7, 1)"
2,1,"(18, 13, 9, 6, 7, 10, 19, 14, 15, 12, 17, 16, 2, 1, 4, 8)","(20, 18, 12, 17, 10, 4, 16, 8, 16, 12, 17, 5, 12, 19, 11, 17)"
2,2,"(3, 6, 16, 18, 14, 5, 15, 17, 11, 2, 4, 8)","(7, 3, 8, 13, 19, 20, 18, 18, 13, 2, 16, 16)"
2,3,"(0, 7, 18, 6, 17, 13, 8, 9, 14, 16, 4, 1, 3, 2, 10, 5, 15, 12)","(19, 15, 3, 6, 17, 1, 3, 15, 8, 10, 12, 5, 19, 2, 9, 14, 18, 10)"
2,4,"(1, 4, 12, 9, 17)","(18, 5, 14, 3, 3)"
3,0,"(8, 4, 5, 6, 19, 15, 12, 9, 2, 18, 13, 0, 14, 17)","(14, 17, 3, 18, 9, 9, 19, 18, 3, 17, 8, 13, 19, 12)"
3,1,"(18, 8, 15, 2, 1, 12, 19, 5, 16, 3)","(19, 5, 16, 20, 1, 1, 20, 13, 7, 3)"
3,2,"(17, 5, 12, 11, 8, 2, 6, 15, 9, 18, 3, 10, 16, 4)","(3, 13, 20, 3, 3, 20, 14, 9, 19, 18, 19, 3, 12, 16)"
3,3,"(4, 6, 1)","(12, 9, 17)"
3,4,"(18, 6, 11, 14, 4, 0, 15, 2, 7, 9, 8, 12, 5, 10, 13)","(20, 1, 19, 6, 18, 8, 10, 11, 17, 7, 5, 13, 7, 20, 7)"
3,5,"(18, 3, 12, 9, 16, 0, 15, 8, 14, 1, 2, 5, 10, 11)","(8, 15, 5, 17, 12, 4, 18, 6, 14, 15, 2, 1, 9, 2)"
3,6,"(6, 8, 16, 15, 12, 2, 14, 19, 0, 13, 17, 3, 18, 11, 4)","(3, 18, 15, 4, 19, 4, 6, 7, 19, 14, 9, 14, 15, 9, 13)"
