kind,task,machine_selectable,process_time,power
0,0,"(5, 14, 6, 13, 10, 11, 4, 12, 3, 0, 1, 2, 9, 7)","(11, 13, 1, 5, 20, 8, 14, 6, 15, 1, 18, 13, 8, 15)","(87, 136, 64, 80, 78, 28, 156, 107, 120, 53, 111, 59, 199, 140)"
0,1,"(1, 13, 2, 7, 4, 12, 3, 9)","(16, 18, 12, 7, 12, 11, 2, 15)","(45, 31, 26, 146, 108, 66, 126, 194)"
0,2,"(11,)","(18,)","(72,)"
0,3,"(1, 11, 4)","(19, 12, 9)","(143, 158, 29)"
0,4,"(2, 5, 11, 0, 6, 13, 3, 10, 12, 1, 4)","(3, 10, 2, 4, 2, 1, 20, 16, 18, 12, 4)","(90, 25, 154, 20, 48, 189, 193, 130, 82, 27, 148)"
0,5,"(4, 0, 6, 5, 13, 3, 1, 7, 11, 12, 2)","(16, 6, 16, 19, 7, 8, 2, 10, 10, 8, 17)","(135, 170, 132, 150, 47, 110, 34, 30, 87, 26, 61)"
0,6,"(9, 14, 10, 8)","(17, 18, 9, 11)","(185, 172, 146, 163)"
0,7,"(2, 14, 3)","(3, 12, 3)","(147, 194, 133)"
0,8,"(13, 3, 8, 4, 5, 11, 14, 1, 6, 12, 9, 10, 0)","(3, 7, 3, 1, 19, 5, 3, 7, 4, 6, 5, 2, 11)","(117, 82, 16, 153, 175, 96, 127, 167, 121, 92, 41, 200, 122)"
1,0,"(1, 5)","(5, 11)","(153, 42)"
1,1,"(4, 2, 5, 9, 11, 12, 1, 0)","(1, 12, 1, 16, 1, 17, 9, 7)","(78, 16, 132, 81, 82, 22, 73, 34)"
1,2,"(6, 14, 13, 12, 8, 7, 11, 0, 9, 2, 10, 4, 5, 1)","(9, 2, 20, 20, 8, 19, 9, 17, 12, 4, 10, 13, 14, 7)","(60, 142, 83, 106, 52, 83, 128, 59, 129, 17, 50, 37, 48, 27)"
1,3,"(10, 13, 11, 12, 7, 14, 2, 6, 0, 3, 8, 9)","(2, 20, 4, 11, 17, 12, 8, 20, 3, 7, 10, 1)","(115, 76, 96, 182, 165, 191, 106, 25, 61, 143, 106, 94)"
1,4,"(6, 11, 12)","(7, 7, 19)","(175, 85, 78)"
1,5,"(13, 4, 8, 10, 3)","(7, 11, 19, 19, 12)","(86, 37, 39, 62, 191)"
1,6,"(10, 11, 3, 4, 13, 9, 7, 12, 14)","(10, 17, 13, 14, 10, 6, 7, 19, 14)","(173, 164, 85, 21, 149, 105, 120, 166, 162)"
