kind,task,machine_selectable,process_time
0,0,"(9, 4, 13, 14, 10, 6, 5, 1, 8, 3, 0)","(12, 4, 2, 1, 6, 15, 10, 16, 20, 19, 14)"
0,1,"(6, 10, 11)","(19, 11, 19)"
0,2,"(0, 14, 10, 9)","(3, 16, 4, 15)"
0,3,"(12, 3, 0, 10, 5, 8, 1, 2, 9)","(6, 15, 12, 7, 7, 1, 18, 16, 13)"
0,4,"(13,)","(16,)"
0,5,"(11, 3, 8, 4, 9, 5)","(7, 14, 20, 3, 15, 19)"
1,0,"(2, 10, 6, 7, 5, 4, 9, 0, 11, 14, 3, 8, 1, 13)","(7, 4, 3, 9, 14, 8, 2, 6, 10, 16, 2, 7, 12, 12)"
1,1,"(3, 13, 9, 10, 7, 5, 11, 2, 4, 1, 14, 6, 12, 8, 0)","(11, 13, 18, 6, 18, 13, 19, 8, 7, 5, 7, 5, 19, 6, 20)"
1,2,"(8, 14, 12, 6, 11, 10, 5, 7, 9, 1)","(4, 11, 7, 7, 8, 8, 11, 5, 4, 18)"
1,3,"(6, 5)","(16, 13)"
1,4,"(8, 1, 12, 0, 7, 10, 9, 2, 11, 4, 5, 6, 3, 13)","(9, 15, 19, 17, 11, 18, 3, 18, 6, 17, 14, 14, 4, 7)"
1,5,"(2, 11, 3, 1, 4, 13)","(9, 15, 9, 20, 17, 20)"
1,6,"(3, 12, 13, 4, 1, 5, 14, 0, 6, 11, 7, 2, 10)","(15, 13, 11, 13, 8, 2, 15, 4, 14, 4, 8, 12, 16)"
1,7,"(11, 14)","(13, 5)"
1,8,"(8, 10, 13, 14, 5, 2, 1, 11, 3, 0)","(16, 18, 10, 9, 6, 11, 1, 5, 20, 10)"
1,9,"(7, 8, 13, 11, 5, 6, 1)","(9, 2, 5, 15, 20, 4, 17)"
2,0,"(0, 5, 8, 3)","(20, 17, 17, 15)"
2,1,"(2, 0)","(20, 14)"
2,2,"(13, 1, 4, 6, 11, 3, 10)","(17, 17, 3, 20, 2, 17, 8)"
2,3,"(0, 10, 7, 2, 6, 3, 9, 5, 8, 14, 12, 4, 11)","(15, 18, 4, 13, 13, 18, 4, 7, 9, 12, 3, 9, 7)"
2,4,"(3,)","(14,)"
2,5,"(11, 9, 0, 1, 8, 14, 12, 10, 3, 4, 5, 13, 7, 2)","(2, 1, 3, 9, 11, 5, 14, 3, 11, 9, 1, 9, 18, 11)"
2,6,"(6, 0, 4, 11, 5, 12, 3, 9, 10, 13)","(15, 4, 16, 19, 3, 12, 4, 8, 13, 19)"
3,0,"(6, 14, 5, 1, 12, 11, 4)","(10, 5, 17, 14, 17, 7, 18)"
3,1,"(8, 7, 14, 3, 6, 9, 1, 12, 4, 10, 13, 5, 2, 11)","(9, 12, 18, 7, 3, 16, 13, 5, 20, 6, 15, 5, 20, 8)"
3,2,"(1, 13, 3, 7, 12, 2, 5, 0)","(14, 6, 17, 15, 16, 15, 10, 3)"
3,3,"(10, 3, 1, 7, 13, 4)","(4, 4, 14, 7, 14, 5)"
3,4,"(0, 4, 11, 8, 1, 10, 9, 6, 14, 5, 3)","(9, 4, 18, 3, 16, 13, 3, 9, 14, 3, 18)"
3,5,"(4, 10, 13, 2, 12, 3, 5)","(16, 10, 14, 11, 11, 5, 9)"
3,6,"(10, 9, 4, 0, 8)","(14, 20, 11, 17, 5)"
3,7,"(9,)","(20,)"
3,8,"(4, 13, 12)","(11, 19, 14)"
4,0,"(11, 1, 5, 6, 12, 2, 9)","(11, 1, 6, 12, 16, 8, 18)"
4,1,"(7, 13, 6, 4, 11, 9, 5, 10, 3, 12, 14, 2)","(1, 1, 9, 11, 18, 9, 11, 17, 20, 10, 6, 12)"
4,2,"(0, 2, 5, 13, 6, 12, 7, 14, 9, 3)","(6, 3, 14, 11, 14, 10, 20, 2, 16, 14)"
4,3,"(9, 1, 7, 12, 14, 6, 10, 11, 3)","(4, 2, 12, 12, 8, 6, 13, 7, 6)"
4,4,"(4,)","(11,)"
4,5,"(12, 0, 1, 2)","(3, 17, 13, 1)"
