kind,task,machine_selectable,process_time
0,0,"(12, 5)","(7, 3)"
0,1,"(6, 14, 0, 1, 7, 12, 4, 10, 13, 8, 9, 11)","(15, 4, 18, 18, 13, 8, 4, 9, 4, 14, 9, 12)"
0,2,"(8, 12, 13, 2, 6, 3, 9, 11, 14, 0)","(12, 7, 11, 2, 8, 15, 15, 1, 5, 11)"
0,3,"(8, 3, 4, 14, 10, 0)","(3, 6, 17, 2, 12, 11)"
0,4,"(9, 4, 14, 6, 7)","(5, 12, 15, 18, 15)"
0,5,"(1, 6, 2, 5, 3, 10, 14, 12, 0, 4, 11, 13, 7, 9)","(15, 2, 4, 8, 18, 4, 5, 12, 10, 16, 14, 2, 7, 1)"
1,0,"(13, 9, 5, 0, 8, 1, 12, 6, 14, 2, 3, 10, 11)","(10, 1, 3, 11, 17, 10, 6, 6, 15, 16, 16, 2, 15)"
1,1,"(5, 12, 0, 6, 13, 1, 9, 7, 3, 2, 4, 8)","(20, 16, 1, 18, 11, 6, 18, 19, 6, 15, 9, 17)"
1,2,"(1, 6, 4, 13, 11, 9, 0, 14, 12, 2, 3, 7)","(1, 18, 7, 9, 9, 12, 9, 9, 19, 8, 9, 12)"
1,3,"(12, 5, 1, 6, 9)","(18, 6, 16, 6, 17)"
1,4,"(7, 4, 14, 12, 1, 10)","(16, 2, 18, 2, 5, 15)"
1,5,"(5, 10, 4, 6, 3)","(16, 16, 7, 12, 5)"
2,0,"(2, 3, 13, 1, 5, 7)","(18, 11, 5, 18, 1, 20)"
2,1,"(9, 8, 7, 3, 14, 2, 6)","(2, 19, 18, 17, 17, 18, 9)"
2,2,"(11, 12, 7, 9, 5, 3)","(11, 16, 6, 16, 5, 10)"
2,3,"(6, 4, 11, 5, 10, 7, 13, 12, 1, 2)","(10, 13, 17, 12, 2, 1, 7, 9, 17, 4)"
2,4,"(6, 9, 3, 10, 4, 5, 8, 1, 11, 2, 14, 7, 13, 12, 0)","(6, 12, 12, 10, 19, 16, 17, 9, 14, 4, 17, 1, 16, 8, 14)"
2,5,"(8, 3, 5, 14, 11, 0, 13, 12, 4, 2, 10)","(7, 1, 17, 2, 4, 8, 9, 16, 17, 4, 2)"
2,6,"(10, 7, 5, 8, 11, 9, 6, 4, 0)","(13, 9, 17, 10, 4, 12, 18, 13, 5)"
2,7,"(4, 14)","(20, 4)"
2,8,"(8, 12, 7, 5, 9, 13, 10, 1, 6, 11)","(15, 2, 6, 8, 12, 3, 7, 7, 8, 4)"
3,0,"(4, 10, 2, 14, 1, 9)","(11, 12, 1, 12, 19, 13)"
3,1,"(0, 13, 14, 10, 5, 7, 9, 6, 8, 3, 2, 4, 12, 1)","(8, 16, 16, 19, 12, 8, 3, 11, 5, 15, 6, 20, 1, 20)"
3,2,"(8, 0, 2, 14, 4, 12, 11, 10, 6)","(17, 11, 12, 16, 9, 4, 2, 2, 9)"
3,3,"(2, 11)","(17, 20)"
3,4,"(11,)","(5,)"
3,5,"(8, 5, 9, 13, 12, 0, 3, 14, 2, 4, 6, 1, 10, 7, 11)","(1, 7, 9, 15, 15, 8, 17, 18, 10, 17, 17, 15, 1, 5, 16)"
3,6,"(7, 9, 1, 3, 11, 4, 10, 2, 8, 5, 0)","(8, 6, 4, 14, 1, 16, 17, 4, 17, 5, 14)"
3,7,"(8, 10)","(16, 20)"
3,8,"(8,)","(1,)"
3,9,"(6, 14, 9, 0, 11)","(20, 8, 12, 8, 6)"
4,0,"(12, 8, 11, 7, 9)","(9, 3, 3, 11, 18)"
4,1,"(10, 11, 14, 8, 9, 0, 2, 4, 3, 1, 7, 6)","(11, 8, 13, 16, 12, 7, 2, 11, 7, 12, 9, 7)"
4,2,"(6, 9, 10, 1, 0, 2, 4)","(20, 2, 1, 3, 5, 20, 15)"
4,3,"(11, 5, 6, 8, 0, 7, 9, 12, 1, 4, 3, 10, 14)","(7, 12, 15, 11, 13, 14, 18, 14, 10, 11, 1, 13, 2)"
4,4,"(10, 6, 3, 8, 13, 5, 11, 12, 14, 7, 4, 9, 0, 2)","(20, 1, 9, 11, 6, 3, 7, 20, 12, 8, 12, 10, 7, 15)"
5,0,"(3, 5, 6, 4, 7, 8)","(15, 4, 16, 19, 12, 18)"
5,1,"(4, 10, 7, 9, 8, 6, 11)","(1, 6, 1, 19, 2, 5, 3)"
5,2,"(12, 5, 10, 8, 1, 9, 0, 13)","(19, 2, 8, 1, 19, 2, 10, 5)"
5,3,"(1, 8, 0, 14, 5, 3, 9, 10, 13, 12, 6, 4, 7, 11)","(1, 6, 11, 14, 20, 5, 6, 15, 9, 9, 5, 9, 13, 2)"
5,4,"(11, 9, 4, 8, 10)","(19, 18, 18, 15, 3)"
5,5,"(3,)","(15,)"
5,6,"(8, 14, 10, 12, 5, 4, 9, 3, 0, 1, 13, 6, 7, 11)","(13, 16, 6, 13, 13, 12, 17, 8, 14, 10, 18, 16, 14, 19)"
5,7,"(13, 12, 9, 11, 0, 6, 14)","(4, 12, 16, 6, 10, 20, 13)"
6,0,"(14, 13, 7)","(9, 7, 11)"
6,1,"(4, 2, 3, 0, 10, 12, 1, 11, 9, 14)","(13, 11, 2, 12, 19, 2, 4, 4, 16, 4)"
6,2,"(5, 7, 0, 1, 6, 4, 8, 14, 2, 12, 11)","(14, 8, 5, 20, 10, 3, 8, 14, 10, 3, 6)"
6,3,"(7, 4, 12, 2, 5, 11, 3, 10, 1, 0, 13, 8, 6, 14)","(8, 11, 12, 17, 4, 7, 7, 15, 16, 11, 15, 2, 17, 11)"
6,4,"(13, 2)","(15, 15)"
6,5,"(6,)","(19,)"
6,6,"(9, 1, 6, 12, 13)","(8, 12, 2, 8, 7)"
