kind,task,machine_selectable,process_time
0,0,"(1, 9, 5, 2, 8, 7, 6, 3)","(2, 17, 1, 19, 12, 14, 18, 14)"
0,1,"(0, 4, 2, 9)","(11, 7, 8, 14)"
0,2,"(7, 8, 5, 1, 6, 2, 0, 9, 3, 4)","(14, 3, 16, 11, 9, 17, 14, 8, 20, 19)"
0,3,"(5, 6, 2)","(7, 11, 12)"
0,4,"(7, 1, 6, 0, 8, 9)","(7, 10, 16, 13, 13, 19)"
0,5,"(2, 5, 8, 6, 3)","(10, 5, 11, 11, 15)"
0,6,"(2, 4, 8, 6, 1, 7, 5, 0)","(16, 16, 4, 5, 15, 5, 20, 3)"
0,7,"(2, 7, 9, 0, 5, 8, 3)","(8, 11, 2, 5, 7, 2, 11)"
0,8,"(6, 4, 7, 9, 1, 0, 3, 5, 8, 2)","(12, 10, 4, 19, 14, 11, 16, 13, 5, 20)"
1,0,"(6, 5)","(12, 4)"
1,1,"(7, 3, 6, 0, 1, 8, 2, 5)","(13, 1, 4, 16, 3, 17, 18, 3)"
1,2,"(0, 2, 4, 7, 8, 6, 1, 9, 3, 5)","(13, 1, 6, 4, 9, 14, 1, 17, 8, 12)"
1,3,"(0, 5, 7, 8)","(20, 1, 8, 3)"
1,4,"(9, 4, 8, 0, 5, 7, 3, 6)","(7, 13, 15, 2, 6, 9, 17, 16)"
2,0,"(0, 2, 4, 5, 8, 6, 9, 7, 1)","(13, 14, 17, 1, 6, 15, 11, 13, 9)"
2,1,"(9, 3, 4, 2, 5, 8, 1, 6, 7)","(11, 13, 1, 6, 20, 20, 16, 2, 20)"
2,2,"(5,)","(7,)"
2,3,"(9,)","(10,)"
2,4,"(7, 4, 6, 5, 8)","(7, 6, 10, 13, 11)"
2,5,"(3, 0, 5, 9, 2, 7, 8, 4, 6)","(1, 20, 3, 3, 13, 16, 17, 10, 8)"
3,0,"(7, 4, 8, 9)","(7, 10, 16, 18)"
3,1,"(6, 7, 4, 1)","(12, 9, 15, 3)"
3,2,"(1, 7, 8, 5, 0, 9, 2)","(20, 10, 19, 9, 6, 1, 13)"
3,3,"(3, 8, 4, 6, 0, 1)","(7, 18, 1, 14, 5, 7)"
3,4,"(1, 5, 3)","(4, 15, 14)"
4,0,"(5, 9, 7, 8, 0)","(7, 16, 11, 1, 17)"
4,1,"(1, 2, 6, 8, 3, 5)","(1, 5, 14, 18, 14, 16)"
4,2,"(1, 8, 9, 7, 2, 6, 0)","(10, 14, 18, 19, 14, 2, 12)"
4,3,"(3, 2)","(12, 15)"
4,4,"(4, 1, 5, 8, 2, 7, 6, 0, 3, 9)","(19, 9, 7, 13, 13, 20, 6, 7, 3, 11)"
4,5,"(2, 6, 5, 3, 8)","(20, 19, 11, 8, 14)"
4,6,"(5, 9)","(1, 13)"
4,7,"(0, 6, 4, 1, 7, 8)","(20, 12, 12, 20, 15, 14)"
5,0,"(5, 7, 9, 4, 2, 1, 8, 0)","(11, 6, 19, 15, 4, 1, 11, 7)"
5,1,"(0, 8, 4, 9, 3, 1, 2, 5, 7)","(3, 12, 8, 9, 11, 16, 20, 9, 14)"
5,2,"(1, 6, 9, 7, 8, 5, 2, 4, 3, 0)","(14, 2, 20, 20, 17, 5, 3, 5, 11, 18)"
5,3,"(8, 9, 5)","(8, 4, 20)"
5,4,"(1, 2)","(2, 20)"
5,5,"(9, 5, 8, 7)","(19, 11, 4, 12)"
5,6,"(9, 6, 3, 0, 5)","(16, 5, 16, 6, 8)"
6,0,"(5, 9, 6)","(4, 12, 18)"
6,1,"(5, 8, 2, 6, 9)","(9, 16, 14, 2, 2)"
6,2,"(6, 2, 8, 9)","(13, 17, 4, 5)"
6,3,"(9, 0, 1)","(14, 18, 4)"
6,4,"(4, 1, 8, 0, 9, 5, 6, 2)","(18, 7, 7, 4, 15, 15, 12, 16)"
6,5,"(8, 5, 1, 0, 6, 2, 7)","(2, 18, 14, 5, 2, 14, 5)"
6,6,"(4,)","(6,)"
6,7,"(3, 8, 5, 1, 6, 2, 0, 7)","(15, 2, 20, 14, 13, 7, 9, 20)"
7,0,"(7, 9, 3, 2, 8, 6, 4, 5)","(5, 19, 12, 12, 9, 2, 16, 13)"
7,1,"(5, 9, 1)","(12, 14, 9)"
7,2,"(7, 5, 1, 6, 2, 8, 9, 4, 0)","(19, 18, 7, 13, 8, 18, 18, 13, 6)"
7,3,"(0, 3, 9, 5, 6)","(12, 20, 6, 19, 3)"
7,4,"(6,)","(3,)"
7,5,"(5, 6, 0)","(3, 12, 20)"
7,6,"(8, 1, 9, 2)","(19, 15, 4, 12)"
7,7,"(8, 0, 1, 5, 6, 9, 4, 3)","(9, 15, 9, 9, 12, 13, 6, 7)"
7,8,"(7, 8, 2, 9, 3)","(12, 2, 4, 8, 6)"
7,9,"(5, 6, 2, 8, 3, 9, 4, 1, 0)","(5, 9, 2, 4, 11, 3, 2, 20, 9)"
8,0,"(8, 3, 4, 9, 7)","(3, 5, 15, 11, 10)"
8,1,"(9, 3, 1, 8, 0, 7, 2, 6)","(18, 16, 13, 16, 18, 14, 16, 13)"
8,2,"(4, 6)","(13, 1)"
8,3,"(1, 0, 5)","(19, 8, 14)"
8,4,"(3, 9, 0, 2, 4, 6, 7, 8, 1, 5)","(13, 15, 1, 2, 17, 11, 8, 11, 18, 19)"
8,5,"(6, 1, 5, 0, 2, 3)","(5, 10, 7, 9, 10, 8)"
8,6,"(5, 2, 8, 9, 7, 0, 1, 3)","(6, 18, 13, 9, 15, 17, 1, 12)"
8,7,"(0, 3, 8)","(13, 6, 18)"
9,0,"(7, 6, 3, 0, 9, 1, 4, 8, 2)","(13, 6, 12, 1, 15, 4, 19, 15, 3)"
9,1,"(2, 6, 4, 7, 5, 1)","(7, 15, 12, 16, 13, 8)"
9,2,"(4, 1)","(1, 14)"
9,3,"(4, 8, 1, 3, 5)","(4, 17, 11, 19, 20)"
9,4,"(0,)","(11,)"
9,5,"(6, 0)","(1, 19)"
