kind,task,machine_selectable,process_time,power
0,0,"(17, 9, 10, 4, 5, 1, 3, 18, 19, 2, 11, 0, 8, 16, 12, 7, 15, 13, 6, 14)","(13, 4, 4, 13, 8, 2, 13, 20, 11, 4, 18, 5, 7, 11, 17, 11, 1, 16, 19, 16)","(133, 112, 145, 81, 171, 68, 190, 76, 129, 167, 82, 141, 69, 125, 190, 105, 32, 93, 41, 18)"
0,1,"(16, 3, 14, 7, 8, 11, 12, 6, 10, 9, 15, 5, 2, 17, 0, 4, 18)","(8, 16, 8, 7, 3, 12, 10, 17, 19, 2, 7, 3, 19, 4, 8, 2, 18)","(103, 102, 42, 36, 139, 173, 121, 195, 171, 10, 52, 82, 101, 116, 90, 118, 19)"
0,2,"(19, 1, 13, 3, 2, 16, 9, 17, 8, 7, 14, 0, 10, 12, 4, 18)","(16, 2, 1, 11, 14, 20, 17, 8, 12, 17, 10, 3, 18, 7, 16, 18)","(91, 65, 99, 106, 189, 188, 97, 151, 131, 103, 60, 12, 128, 188, 191, 110)"
0,3,"(0, 13, 6)","(17, 16, 14)","(39, 116, 169)"
0,4,"(2, 18, 5, 15, 0, 17, 19, 9, 3, 13, 4, 14, 12, 10, 1, 16, 8)","(4, 9, 16, 4, 14, 7, 4, 14, 11, 6, 13, 8, 20, 18, 15, 20, 12)","(43, 46, 87, 116, 20, 48, 44, 11, 47, 168, 193, 95, 73, 166, 37, 155, 89)"
0,5,"(12, 17, 0, 19, 4, 5, 8, 14, 1, 13, 6, 9, 3, 16, 10, 2)","(16, 20, 15, 10, 3, 7, 3, 7, 19, 6, 1, 5, 11, 13, 4, 17)","(179, 182, 15, 120, 187, 92, 80, 76, 190, 35, 43, 53, 73, 173, 130, 58)"
0,6,"(15, 10, 9, 12, 13, 16, 7, 0, 19, 4, 14, 6, 18, 1)","(6, 15, 8, 17, 20, 14, 8, 11, 15, 12, 18, 1, 17, 14)","(141, 164, 176, 59, 119, 24, 79, 54, 89, 159, 133, 123, 113, 190)"
0,7,"(11, 8, 13, 9, 6, 17, 18, 16, 1, 14, 15, 5, 12, 19, 4)","(12, 19, 12, 16, 7, 10, 20, 10, 11, 7, 14, 7, 4, 8, 17)","(21, 133, 133, 91, 136, 54, 174, 49, 149, 117, 135, 129, 17, 188, 77)"
1,0,"(19, 3, 4, 6, 14, 16, 5, 0, 12, 11, 8, 17, 15, 2, 10, 18, 13, 1, 9)","(11, 13, 10, 6, 12, 16, 19, 15, 13, 19, 3, 3, 10, 7, 18, 7, 15, 8, 19)","(31, 110, 159, 151, 64, 87, 47, 189, 31, 173, 131, 131, 29, 148, 183, 200, 180, 87, 68)"
1,1,"(4, 8)","(7, 4)","(192, 107)"
1,2,"(5, 11, 8, 0, 12, 13, 7, 9, 6, 19, 16, 17, 18, 2)","(1, 11, 2, 17, 9, 6, 12, 15, 20, 8, 3, 12, 11, 3)","(70, 33, 17, 160, 185, 142, 121, 113, 172, 45, 88, 54, 173, 182)"
1,3,"(6, 12, 19, 11, 17, 8, 15, 3, 9, 5)","(1, 16, 1, 8, 18, 7, 19, 15, 5, 15)","(51, 64, 169, 169, 53, 122, 83, 98, 27, 97)"
