kind,task,machine_selectable,process_time,power
0,0,"(2, 5, 12, 13, 15, 9, 1, 0, 11, 6, 19, 8, 16, 7, 10, 18, 3, 17, 4, 14)","(1, 4, 12, 17, 18, 10, 11, 5, 3, 18, 2, 20, 9, 18, 18, 11, 11, 7, 19, 17)","(125, 19, 96, 70, 181, 105, 141, 84, 193, 37, 176, 142, 81, 66, 111, 105, 74, 94, 82, 44)"
0,1,"(10, 6, 2, 4, 15, 14, 0, 12, 3, 11, 18)","(17, 7, 19, 4, 13, 1, 16, 15, 10, 15, 7)","(89, 42, 83, 154, 157, 178, 55, 159, 178, 168, 186)"
0,2,"(2, 19, 6, 10, 14, 5, 7, 13, 4, 8, 17, 15, 9, 12, 1, 18, 16, 0, 3)","(6, 8, 5, 15, 10, 8, 7, 12, 15, 2, 12, 12, 1, 3, 6, 5, 14, 9, 10)","(162, 99, 78, 26, 105, 152, 196, 67, 140, 37, 127, 194, 174, 118, 68, 78, 52, 35, 35)"
0,3,"(3, 1, 4, 17, 18, 5, 10, 12, 8, 9, 19, 0, 13, 2, 16)","(10, 15, 2, 3, 13, 7, 16, 1, 5, 16, 20, 16, 2, 4, 9)","(116, 187, 106, 95, 68, 128, 105, 66, 41, 139, 79, 79, 88, 174, 64)"
0,4,"(1, 14, 16, 19, 3, 11, 0)","(15, 19, 7, 10, 3, 15, 12)","(170, 101, 51, 20, 151, 44, 45)"
0,5,"(18, 19, 9)","(14, 20, 18)","(43, 62, 167)"
1,0,"(12, 18, 10, 14, 1, 3, 9)","(17, 4, 12, 19, 8, 20, 16)","(39, 193, 43, 76, 156, 127, 128)"
1,1,"(16, 8, 12, 14, 11, 18, 4, 15, 10, 9, 5, 3, 19, 0, 6, 1, 2)","(4, 20, 11, 6, 1, 13, 20, 16, 11, 3, 9, 5, 2, 12, 11, 18, 8)","(131, 111, 43, 127, 185, 60, 12, 57, 167, 76, 110, 138, 115, 92, 62, 97, 200)"
1,2,"(0, 18, 4, 17, 16, 8, 10, 15, 6, 11, 7, 2, 19, 12)","(8, 6, 11, 18, 3, 1, 8, 16, 1, 9, 12, 6, 9, 17)","(129, 138, 20, 61, 130, 73, 64, 42, 151, 116, 84, 124, 17, 59)"
1,3,"(11, 18, 5, 19, 9, 7, 13, 17, 6, 12, 14, 1, 3, 15, 4, 0, 10, 8, 16)","(4, 15, 4, 1, 16, 18, 16, 9, 12, 15, 17, 18, 13, 4, 20, 14, 10, 6, 12)","(193, 26, 129, 146, 150, 85, 158, 195, 23, 64, 32, 127, 33, 150, 46, 187, 55, 172, 150)"
1,4,"(7, 11, 0, 18, 12, 5, 17, 16, 14, 13, 10, 3, 8, 9)","(8, 19, 20, 17, 4, 18, 16, 3, 6, 4, 3, 19, 17, 20)","(170, 126, 42, 37, 58, 15, 173, 73, 198, 178, 22, 181, 144, 190)"
1,5,"(15, 4, 1, 12, 0, 3, 2, 5, 19, 17, 8, 6, 13, 9, 16)","(1, 20, 2, 3, 8, 2, 8, 19, 14, 6, 19, 14, 10, 1, 11)","(33, 100, 34, 27, 71, 43, 65, 78, 47, 170, 105, 37, 60, 161, 66)"
1,6,"(19, 13, 7)","(10, 17, 2)","(101, 137, 64)"
1,7,"(3,)","(7,)","(116,)"
1,8,"(13, 4, 5)","(15, 3, 19)","(76, 53, 17)"
2,0,"(10, 18, 3, 14, 15, 16, 11, 6)","(16, 4, 7, 14, 18, 12, 18, 18)","(103, 25, 187, 168, 96, 154, 55, 89)"
2,1,"(17, 4)","(6, 3)","(144, 118)"
2,2,"(2, 9, 1, 13, 17, 6, 14, 12)","(12, 3, 8, 14, 16, 9, 1, 3)","(65, 148, 37, 98, 39, 173, 50, 23)"
2,3,"(9, 3, 0, 13, 12, 6, 5, 8, 2, 4, 18)","(7, 1, 5, 12, 13, 3, 1, 11, 6, 18, 4)","(153, 89, 111, 172, 146, 62, 91, 157, 48, 99, 74)"
2,4,"(7, 0, 9, 6, 5, 16, 10, 13, 3)","(14, 14, 12, 13, 6, 7, 6, 3, 20)","(174, 107, 60, 121, 79, 130, 103, 41, 117)"
2,5,"(18, 10, 1, 9, 8, 17, 3, 0, 5, 15, 2, 12, 7, 11, 16)","(12, 8, 11, 16, 12, 9, 5, 6, 1, 13, 7, 11, 17, 12, 19)","(143, 19, 187, 134, 177, 61, 189, 24, 110, 64, 182, 24, 122, 62, 11)"
2,6,"(18, 17, 12, 14, 3, 7, 19, 16, 6, 4, 10, 9)","(4, 20, 12, 16, 1, 3, 15, 9, 15, 4, 3, 8)","(185, 162, 107, 76, 96, 125, 89, 48, 67, 162, 133, 48)"
