kind,task,machine_selectable,process_time
0,0,"(13, 12, 4, 0, 11, 10, 3, 1, 9)","(2, 19, 4, 20, 7, 6, 4, 12, 4)"
0,1,"(12, 1, 4, 5, 0, 14, 13, 10, 3)","(6, 14, 14, 1, 13, 7, 1, 14, 14)"
0,2,"(8, 10, 2, 7, 11, 14)","(17, 11, 8, 8, 13, 19)"
0,3,"(2, 3, 1, 7, 9, 14)","(12, 15, 7, 19, 8, 9)"
0,4,"(11, 12, 8, 14, 7, 1, 9, 2, 10, 4)","(6, 10, 4, 2, 12, 11, 11, 5, 5, 8)"
0,5,"(10, 13, 14, 4, 5)","(19, 12, 5, 16, 7)"
0,6,"(10, 3, 14, 11, 7, 9, 2, 4)","(10, 18, 19, 1, 6, 14, 14, 13)"
0,7,"(2, 4, 7, 9, 5)","(12, 12, 11, 18, 8)"
0,8,"(5, 1, 13, 7, 8, 6, 10)","(5, 4, 18, 12, 16, 18, 15)"
1,0,"(0,)","(12,)"
1,1,"(4, 7, 9, 2)","(12, 18, 7, 11)"
1,2,"(8, 6, 2, 13, 5, 4, 14, 1, 0)","(15, 17, 19, 6, 11, 7, 5, 15, 14)"
1,3,"(5, 11, 12, 14, 10, 2, 9, 4)","(20, 9, 6, 9, 15, 3, 11, 1)"
1,4,"(0, 6, 12, 11, 9, 10, 1, 8, 4, 13, 2, 3, 5, 14, 7)","(19, 3, 5, 3, 14, 10, 14, 5, 16, 2, 8, 3, 17, 19, 11)"
1,5,"(14, 5, 13, 3, 8, 10, 2, 7, 1, 0, 9, 12, 4)","(18, 18, 1, 3, 15, 8, 19, 6, 1, 1, 17, 1, 16)"
1,6,"(5, 11, 9, 14, 6, 12, 10, 0, 2, 8, 7, 4, 1, 3)","(5, 3, 10, 18, 5, 11, 15, 14, 19, 1, 9, 4, 8, 1)"
2,0,"(4, 0, 12)","(17, 7, 6)"
2,1,"(10, 7, 11, 8, 1, 9, 5, 3)","(1, 19, 11, 16, 8, 19, 15, 13)"
2,2,"(11, 5, 3, 8, 0, 7, 12, 10)","(3, 16, 10, 7, 2, 4, 13, 6)"
2,3,"(1, 0, 2, 3, 14, 4, 7, 12, 11, 5, 8, 6, 10)","(15, 14, 15, 9, 4, 1, 2, 9, 15, 10, 19, 13, 19)"
2,4,"(6, 1, 5)","(2, 8, 12)"
3,0,"(2,)","(4,)"
3,1,"(7, 4, 14, 13, 10, 3, 0, 9, 1, 11, 6)","(3, 1, 20, 3, 3, 1, 3, 10, 12, 12, 4)"
3,2,"(2, 14)","(7, 8)"
3,3,"(11, 0, 14)","(3, 13, 9)"
3,4,"(9, 1, 14, 0, 10, 11, 5, 3, 6, 12, 4, 2, 8, 13, 7)","(8, 1, 9, 7, 14, 20, 19, 18, 4, 8, 14, 2, 7, 6, 16)"
4,0,"(2, 3)","(15, 12)"
4,1,"(3, 0, 2, 7, 13, 5, 8, 12, 1, 9)","(19, 1, 7, 7, 17, 16, 20, 13, 17, 11)"
4,2,"(13, 2, 10, 4, 7, 12, 3, 6, 9, 0, 14, 8, 5, 1)","(13, 19, 20, 20, 16, 16, 15, 12, 8, 13, 12, 7, 8, 14)"
4,3,"(11, 5, 4, 14, 1, 10, 13, 12, 3, 0, 6, 9, 2, 8, 7)","(15, 4, 2, 2, 2, 13, 5, 8, 10, 13, 20, 8, 9, 8, 10)"
4,4,"(5, 2, 8, 1, 14, 7, 11, 4, 12, 6, 0, 10)","(20, 15, 1, 16, 4, 3, 20, 1, 8, 2, 12, 11)"
