kind,task,machine_selectable,process_time,power
0,0,"(8, 1, 7, 3, 2)","(4, 5, 16, 2, 19)","(29, 100, 178, 127, 35)"
0,1,"(9, 0, 3, 6, 7, 1, 2, 5)","(4, 20, 16, 10, 20, 10, 8, 2)","(15, 85, 50, 192, 30, 176, 153, 159)"
0,2,"(6, 0, 8, 2)","(14, 18, 4, 10)","(103, 94, 33, 37)"
0,3,"(3, 8, 6, 7, 4, 0, 5, 1, 9, 2)","(8, 12, 16, 12, 2, 20, 4, 5, 13, 2)","(28, 54, 83, 10, 45, 35, 12, 171, 98, 172)"
0,4,"(9,)","(18,)","(139,)"
0,5,"(3, 5, 7, 6)","(1, 16, 5, 3)","(72, 21, 128, 140)"
0,6,"(7, 6)","(20, 11)","(48, 102)"
0,7,"(0, 1, 7, 3, 2, 5, 6, 4, 9)","(1, 18, 6, 6, 20, 8, 11, 9, 18)","(178, 19, 192, 71, 23, 126, 182, 178, 92)"
0,8,"(1, 9, 6)","(1, 5, 8)","(85, 151, 137)"
1,0,"(3,)","(13,)","(92,)"
1,1,"(0, 5, 9, 2, 6, 1, 7, 4, 8, 3)","(5, 2, 19, 13, 7, 12, 20, 11, 19, 15)","(173, 128, 133, 196, 151, 153, 65, 170, 188, 128)"
1,2,"(5, 3, 9, 7, 0, 6, 2, 8, 4, 1)","(13, 14, 13, 8, 15, 8, 12, 2, 17, 13)","(158, 58, 172, 168, 154, 67, 61, 87, 157, 199)"
1,3,"(0, 6)","(17, 17)","(134, 121)"
1,4,"(7, 0, 9, 3)","(17, 1, 11, 4)","(103, 57, 157, 163)"
1,5,"(9, 0, 1, 8, 6, 2, 7)","(11, 19, 6, 16, 5, 17, 20)","(88, 57, 94, 45, 140, 23, 47)"
1,6,"(0, 4, 6, 2, 3, 1, 9, 8)","(4, 5, 5, 1, 5, 8, 11, 3)","(177, 142, 103, 64, 116, 151, 105, 24)"
1,7,"(8, 0)","(12, 8)","(11, 99)"
1,8,"(4, 7, 1, 2, 0, 5, 6, 3, 8)","(16, 19, 6, 6, 2, 11, 9, 2, 17)","(124, 167, 46, 112, 50, 31, 66, 138, 186)"
1,9,"(4, 3, 7, 9)","(20, 1, 9, 20)","(104, 21, 28, 161)"
2,0,"(2, 0, 3, 9, 1, 6, 7)","(17, 1, 7, 5, 7, 20, 19)","(47, 136, 130, 159, 96, 92, 104)"
2,1,"(3, 0)","(11, 13)","(169, 38)"
2,2,"(1, 0, 7, 4, 5, 6, 9, 8, 2, 3)","(15, 12, 1, 4, 14, 14, 15, 17, 9, 16)","(84, 111, 162, 142, 145, 160, 15, 145, 93, 142)"
2,3,"(9, 5, 4, 6, 1, 3, 8)","(13, 7, 7, 5, 19, 14, 7)","(150, 29, 35, 130, 13, 71, 198)"
2,4,"(1, 0, 7, 4, 9, 3, 6, 5)","(11, 16, 17, 3, 17, 4, 3, 20)","(66, 85, 72, 10, 179, 111, 186, 135)"
2,5,"(3, 6, 9, 0, 4, 8, 5, 1, 2)","(16, 1, 12, 15, 12, 20, 14, 10, 18)","(48, 26, 77, 64, 129, 12, 109, 16, 182)"
2,6,"(9, 6, 2, 1, 7, 4, 5, 3, 0)","(1, 6, 15, 7, 9, 13, 14, 13, 18)","(64, 32, 80, 109, 87, 33, 73, 15, 165)"
2,7,"(2, 5, 6, 4, 3, 9, 8)","(12, 17, 1, 2, 6, 7, 4)","(81, 56, 183, 59, 55, 109, 55)"
2,8,"(0, 5, 4, 1, 2, 7, 8, 3, 6)","(3, 10, 9, 17, 19, 20, 7, 10, 20)","(121, 162, 50, 147, 53, 61, 77, 50, 29)"
3,0,"(2, 9, 4, 6, 7, 0, 5)","(18, 4, 1, 15, 10, 11, 17)","(60, 165, 102, 100, 27, 157, 192)"
3,1,"(8, 1, 7, 2)","(17, 17, 20, 17)","(105, 158, 158, 77)"
3,2,"(8,)","(10,)","(130,)"
3,3,"(6, 5, 3, 2, 1, 9, 4, 7)","(15, 19, 5, 13, 9, 1, 10, 20)","(185, 54, 118, 61, 39, 190, 190, 135)"
3,4,"(6, 3, 1, 5, 7, 9)","(6, 12, 16, 19, 1, 20)","(151, 54, 85, 155, 169, 157)"
4,0,"(9, 8, 6)","(5, 5, 8)","(200, 43, 177)"
4,1,"(8, 5, 9)","(8, 4, 5)","(95, 191, 34)"
4,2,"(9,)","(9,)","(199,)"
4,3,"(7, 8)","(5, 3)","(35, 63)"
4,4,"(2, 3, 8, 9)","(8, 9, 7, 17)","(86, 42, 149, 115)"
5,0,"(3, 1, 8, 4, 6, 9, 2, 7)","(3, 4, 15, 14, 6, 9, 8, 14)","(195, 189, 72, 123, 152, 92, 175, 163)"
5,1,"(2, 9, 0, 7, 1, 4)","(11, 6, 18, 12, 7, 7)","(199, 16, 59, 63, 135, 70)"
5,2,"(6, 9, 5, 7, 2, 0)","(19, 7, 3, 7, 20, 5)","(182, 132, 96, 37, 184, 68)"
5,3,"(8, 5, 0, 1, 9, 6, 4)","(14, 18, 8, 13, 9, 18, 5)","(83, 199, 99, 63, 61, 117, 55)"
5,4,"(8, 6, 5, 0, 3, 4, 9, 7)","(16, 13, 7, 8, 7, 9, 9, 8)","(48, 142, 87, 31, 143, 66, 91, 30)"
5,5,"(2, 0, 9, 8, 3, 6, 5)","(8, 15, 8, 14, 4, 17, 10)","(43, 194, 116, 145, 128, 60, 147)"
5,6,"(4, 3, 8, 6, 9, 5, 7, 2, 0, 1)","(14, 17, 13, 15, 5, 13, 2, 9, 4, 19)","(93, 137, 49, 94, 132, 128, 104, 120, 57, 181)"
5,7,"(4, 8, 2, 9, 1, 7, 5, 3)","(11, 11, 11, 18, 2, 15, 8, 11)","(139, 39, 78, 150, 184, 194, 13, 44)"
5,8,"(6, 0)","(19, 6)","(154, 52)"
6,0,"(6, 4, 2, 7, 9, 1, 8, 5, 3, 0)","(19, 10, 7, 16, 19, 20, 2, 8, 5, 17)","(181, 181, 70, 129, 180, 67, 42, 88, 53, 105)"
6,1,"(8, 3)","(10, 20)","(107, 128)"
