kind,task,machine_selectable,process_time
0,0,"(1, 9, 2, 5)","(18, 20, 15, 2)"
0,1,"(8, 4, 5, 0, 7)","(3, 8, 7, 1, 2)"
0,2,"(4, 7, 6, 8, 2, 5, 9, 0, 3)","(3, 17, 3, 2, 17, 10, 7, 2, 19)"
0,3,"(4, 9, 2, 6, 7, 0, 1)","(8, 20, 9, 8, 9, 20, 10)"
0,4,"(5, 3, 1, 2, 7, 4, 6)","(20, 1, 17, 7, 3, 8, 1)"
0,5,"(1, 0, 3, 5, 8, 2, 7, 6, 9, 4)","(17, 7, 10, 8, 13, 18, 8, 3, 8, 5)"
0,6,"(7, 1, 3, 0, 9, 8, 4)","(12, 4, 18, 19, 6, 18, 14)"
0,7,"(1, 2, 5, 6, 8)","(15, 4, 3, 3, 1)"
0,8,"(0, 1, 2, 3, 9)","(14, 1, 19, 6, 17)"
0,9,"(0, 5, 3, 1, 9, 8, 7, 6, 4, 2)","(19, 15, 5, 5, 6, 6, 1, 9, 10, 13)"
1,0,"(5, 0, 4, 8, 2, 7, 6)","(2, 15, 16, 7, 10, 12, 7)"
1,1,"(6, 3, 1, 9, 5, 7)","(11, 15, 4, 11, 16, 20)"
1,2,"(3, 2, 8, 1, 5, 7, 9)","(7, 8, 1, 11, 18, 1, 16)"
1,3,"(8, 5, 1, 9, 2, 7, 6, 0, 3)","(6, 1, 16, 12, 17, 13, 11, 7, 16)"
1,4,"(5, 2, 4, 3, 0)","(3, 5, 19, 16, 10)"
1,5,"(9, 3, 0, 8, 6, 5)","(15, 9, 13, 5, 5, 1)"
1,6,"(1, 5)","(19, 8)"
2,0,"(6, 0, 2)","(3, 3, 15)"
2,1,"(4, 7, 1, 3, 2, 8, 9)","(3, 4, 10, 12, 15, 11, 3)"
2,2,"(0, 6, 8, 5, 1, 3, 2, 4, 9)","(17, 8, 20, 3, 18, 17, 4, 14, 5)"
2,3,"(3,)","(2,)"
2,4,"(6, 5, 9, 8, 4)","(3, 15, 15, 18, 18)"
2,5,"(5, 9, 7, 6, 8, 4, 0, 3, 1)","(17, 19, 3, 5, 15, 3, 18, 12, 1)"
2,6,"(5, 9, 4, 2, 3, 8, 6, 1, 0)","(7, 2, 16, 19, 5, 6, 13, 4, 15)"
2,7,"(9, 6)","(2, 20)"
2,8,"(1, 8, 6, 3, 7, 4, 0, 9, 2, 5)","(16, 17, 7, 13, 17, 2, 20, 8, 17, 15)"
3,0,"(3, 7, 4, 8, 9, 0, 1, 6, 5)","(5, 18, 13, 2, 3, 4, 4, 10, 5)"
3,1,"(5, 8, 3, 2, 0, 9)","(13, 2, 19, 17, 9, 12)"
3,2,"(5, 0, 7, 4, 8, 2, 1, 9, 3, 6)","(5, 16, 10, 13, 3, 12, 5, 12, 2, 16)"
3,3,"(3, 8, 1, 4, 0, 9)","(6, 2, 20, 15, 16, 5)"
3,4,"(7, 1, 6, 9, 2, 4, 8, 3)","(12, 10, 17, 18, 9, 15, 8, 1)"
3,5,"(6, 3, 8, 4, 0, 9, 7, 1, 5, 2)","(15, 9, 19, 18, 16, 16, 19, 3, 8, 6)"
3,6,"(4, 0, 6)","(17, 19, 4)"
4,0,"(1, 6, 3, 4, 5, 9, 8, 7)","(3, 20, 6, 8, 16, 16, 14, 14)"
4,1,"(1, 3, 8, 2, 9, 5, 4, 7, 6, 0)","(9, 10, 19, 17, 7, 1, 18, 17, 19, 18)"
4,2,"(7, 3, 2, 4, 8, 1, 9, 0)","(5, 18, 8, 18, 7, 10, 16, 8)"
4,3,"(1, 4)","(8, 9)"
4,4,"(8, 5, 4, 0)","(5, 6, 5, 19)"
5,0,"(2,)","(11,)"
5,1,"(0, 6, 7, 4, 3, 8, 9)","(5, 17, 15, 19, 12, 17, 3)"
5,2,"(9, 5, 8)","(3, 14, 12)"
5,3,"(0, 8, 4, 9, 3, 5, 1)","(13, 5, 14, 17, 18, 4, 16)"
5,4,"(1, 2, 3, 6, 0, 5, 7, 9, 8, 4)","(4, 3, 16, 4, 9, 4, 1, 11, 7, 4)"
6,0,"(3, 6, 9, 5, 1, 7, 4, 8, 2, 0)","(16, 7, 1, 4, 6, 11, 7, 3, 16, 18)"
6,1,"(9, 3, 5, 7, 1, 2, 8)","(7, 14, 10, 4, 11, 2, 13)"
6,2,"(5, 0, 7, 9, 8, 4, 1, 6, 2)","(7, 3, 9, 8, 13, 11, 2, 1, 1)"
6,3,"(0, 1, 5, 3, 2)","(9, 12, 11, 20, 1)"
6,4,"(4,)","(20,)"
6,5,"(6, 1, 7, 2, 5, 8)","(5, 7, 1, 2, 12, 6)"
7,0,"(2, 1, 4, 8, 6, 5)","(7, 10, 15, 19, 14, 4)"
7,1,"(6,)","(12,)"
7,2,"(1, 2, 6, 5, 3)","(1, 19, 3, 6, 12)"
7,3,"(9, 1, 7, 6, 0, 3, 2, 8, 5)","(16, 20, 15, 2, 14, 18, 4, 2, 19)"
7,4,"(6, 5, 7, 8, 3, 1)","(19, 6, 16, 19, 13, 7)"
7,5,"(3, 4, 8, 7, 1, 9)","(5, 7, 17, 11, 20, 15)"
7,6,"(9, 7, 0, 5, 8, 2, 4, 1)","(15, 9, 13, 19, 12, 1, 19, 11)"
7,7,"(7, 8, 4, 1, 9, 6, 2, 0)","(14, 3, 10, 3, 7, 5, 6, 18)"
8,0,"(5, 4, 9, 7, 0, 2, 6)","(17, 16, 18, 11, 7, 4, 20)"
8,1,"(9, 6, 4, 3)","(17, 14, 3, 9)"
8,2,"(6, 2, 8, 1, 3, 7, 9, 0)","(2, 16, 20, 11, 8, 20, 3, 5)"
8,3,"(6, 5, 3, 1, 0, 4, 8, 2, 7)","(6, 3, 6, 6, 8, 13, 17, 15, 17)"
8,4,"(4, 5, 0, 3)","(20, 8, 17, 3)"
8,5,"(8, 5, 7, 2, 1, 3)","(11, 6, 3, 19, 9, 18)"
8,6,"(9, 8)","(10, 16)"
8,7,"(8, 0)","(18, 16)"
9,0,"(6, 1, 2)","(7, 1, 11)"
9,1,"(3, 8, 4, 7, 0, 5, 1, 9, 6)","(14, 20, 7, 13, 19, 9, 7, 8, 17)"
9,2,"(7, 1, 0, 3, 5, 8, 9, 4, 2, 6)","(1, 15, 4, 4, 7, 20, 8, 9, 16, 10)"
9,3,"(2, 6, 9)","(16, 6, 14)"
9,4,"(8, 3, 0, 5)","(8, 18, 15, 3)"
9,5,"(9, 2, 0)","(14, 11, 13)"
10,0,"(7,)","(6,)"
10,1,"(9, 8, 0, 4, 3, 2)","(19, 19, 2, 16, 2, 20)"
10,2,"(3, 9, 5, 8, 7, 4, 0, 1, 2)","(16, 17, 12, 20, 9, 7, 15, 11, 6)"
10,3,"(9, 6, 1)","(19, 19, 11)"
10,4,"(0, 5)","(3, 2)"
10,5,"(1,)","(14,)"
10,6,"(8,)","(3,)"
