kind,task,machine_selectable,process_time,power
0,0,"(6, 9, 1, 5, 14, 11, 13, 3, 0, 12, 8, 10)","(4, 8, 10, 20, 6, 12, 7, 17, 9, 12, 3, 2)","(110, 154, 41, 25, 161, 43, 102, 83, 151, 45, 116, 20)"
0,1,"(7, 9, 10)","(3, 7, 18)","(62, 65, 133)"
0,2,"(0, 11, 7)","(4, 11, 9)","(185, 17, 13)"
0,3,"(14, 0, 4, 10)","(6, 11, 6, 9)","(139, 59, 162, 32)"
0,4,"(2, 5, 12, 4)","(17, 11, 18, 15)","(13, 196, 75, 191)"
0,5,"(0, 13, 2, 5, 11)","(2, 15, 18, 17, 6)","(39, 167, 66, 124, 17)"
0,6,"(14, 5, 4, 11)","(2, 2, 2, 7)","(37, 61, 176, 179)"
0,7,"(7, 13, 14, 5, 4, 6, 8, 1, 2, 3)","(4, 7, 12, 17, 1, 20, 12, 20, 8, 17)","(98, 58, 155, 163, 169, 15, 145, 161, 197, 81)"
0,8,"(12, 3, 14, 9, 13, 2)","(18, 14, 7, 5, 8, 14)","(36, 69, 65, 47, 33, 191)"
0,9,"(11, 4, 5)","(2, 19, 7)","(72, 121, 35)"
1,0,"(6, 10, 7, 11, 9, 14, 8, 0, 12, 4, 2, 5, 1, 13)","(12, 8, 4, 11, 6, 10, 20, 18, 13, 11, 15, 17, 1, 11)","(169, 143, 77, 108, 159, 142, 168, 74, 128, 70, 169, 58, 73, 72)"
1,1,"(11, 14, 5, 0, 12, 9, 10, 13, 6, 4, 8, 3, 7, 2, 1)","(1, 3, 17, 12, 16, 1, 10, 8, 15, 8, 20, 5, 8, 11, 1)","(193, 116, 81, 121, 83, 181, 105, 53, 78, 190, 101, 86, 70, 195, 200)"
1,2,"(1,)","(3,)","(41,)"
1,3,"(1, 10, 7)","(16, 6, 6)","(128, 183, 75)"
1,4,"(5, 4, 6, 3, 14, 1, 10, 11, 9, 2, 13, 8)","(20, 6, 6, 6, 8, 14, 13, 16, 5, 5, 3, 3)","(180, 63, 105, 121, 154, 21, 52, 37, 38, 131, 26, 53)"
2,0,"(14, 13, 4, 7, 2)","(8, 13, 11, 16, 7)","(59, 151, 34, 121, 150)"
2,1,"(12, 7, 9, 3)","(12, 12, 19, 4)","(63, 157, 42, 24)"
2,2,"(14, 3, 5, 2, 4, 7)","(8, 8, 4, 20, 6, 19)","(30, 45, 198, 149, 200, 103)"
2,3,"(7, 6, 1, 12, 0, 10, 3, 14, 9, 4, 13, 11, 5)","(1, 16, 20, 3, 10, 9, 8, 4, 11, 18, 9, 4, 3)","(108, 156, 122, 115, 106, 29, 45, 10, 29, 197, 24, 145, 143)"
2,4,"(14, 11, 12, 7)","(2, 8, 12, 9)","(18, 24, 103, 23)"
3,0,"(3,)","(5,)","(86,)"
3,1,"(12, 13)","(6, 19)","(66, 151)"
3,2,"(10, 8, 12, 11, 5, 3, 1, 14, 0, 4)","(5, 7, 17, 14, 3, 3, 10, 20, 11, 13)","(96, 186, 25, 77, 141, 161, 103, 24, 175, 60)"
3,3,"(9, 1, 0, 5, 14, 2, 3, 13, 7, 8, 12, 6, 11)","(20, 4, 20, 4, 20, 19, 3, 7, 9, 14, 6, 19, 15)","(105, 119, 69, 57, 160, 93, 139, 73, 118, 60, 33, 192, 31)"
3,4,"(2, 3, 7, 14, 10)","(4, 8, 5, 12, 3)","(140, 107, 126, 156, 35)"
3,5,"(3, 4, 12, 1, 6, 9)","(19, 6, 4, 6, 11, 6)","(78, 191, 161, 137, 20, 42)"
4,0,"(6, 10, 13, 4, 1, 0, 3, 5, 12, 14, 9, 2, 8, 11, 7)","(19, 20, 13, 10, 11, 4, 20, 19, 2, 20, 19, 20, 5, 4, 18)","(142, 109, 57, 57, 112, 130, 73, 148, 174, 168, 151, 11, 93, 154, 70)"
4,1,"(3, 5, 4)","(1, 8, 20)","(172, 101, 91)"
4,2,"(2, 11, 4)","(15, 4, 12)","(141, 131, 28)"
4,3,"(0, 13)","(17, 9)","(180, 10)"
4,4,"(7, 9, 14, 4, 3, 1, 12, 8, 0, 6, 5, 2, 10)","(4, 15, 2, 10, 17, 13, 7, 8, 1, 20, 19, 20, 7)","(172, 162, 131, 128, 127, 51, 178, 63, 67, 57, 116, 62, 173)"
4,5,"(7, 3, 14, 8)","(4, 8, 16, 17)","(90, 198, 14, 152)"
4,6,"(4, 8, 14, 5, 12)","(3, 17, 6, 15, 7)","(59, 132, 168, 72, 83)"
4,7,"(10, 5)","(19, 16)","(130, 33)"
4,8,"(11, 14, 2)","(19, 16, 19)","(199, 62, 180)"
5,0,"(8, 9, 14, 3, 1, 12, 10, 13, 6, 2, 0)","(3, 11, 17, 1, 9, 6, 20, 9, 5, 11, 9)","(17, 103, 134, 145, 60, 192, 56, 88, 107, 197, 55)"
5,1,"(9, 3, 5, 0)","(18, 1, 5, 18)","(120, 14, 36, 11)"
5,2,"(11, 2, 1, 4, 14, 5, 0, 13)","(14, 14, 15, 7, 14, 9, 10, 4)","(72, 127, 168, 86, 57, 118, 29, 183)"
5,3,"(6, 14, 5, 7, 1, 3, 0, 4, 11, 13, 2, 8, 9, 12, 10)","(1, 7, 1, 2, 1, 12, 7, 5, 14, 9, 12, 3, 18, 10, 4)","(60, 185, 109, 128, 150, 71, 184, 51, 55, 122, 106, 58, 26, 86, 106)"
5,4,"(14, 13, 8, 2, 1, 5)","(14, 4, 8, 6, 9, 14)","(68, 167, 59, 40, 47, 74)"
