kind,task,machine_selectable,process_time
0,0,"(8, 1, 4, 6, 3)","(15, 18, 7, 17, 3)"
0,1,"(8, 5, 4, 7, 2, 3)","(6, 19, 19, 12, 17, 5)"
0,2,"(4, 0, 9, 8, 6)","(5, 2, 9, 13, 20)"
0,3,"(8, 2, 7, 1, 5, 0)","(10, 4, 6, 2, 10, 5)"
0,4,"(6, 7, 3, 0, 2, 9, 1)","(2, 6, 1, 6, 13, 9, 11)"
0,5,"(9, 2)","(2, 6)"
0,6,"(4,)","(6,)"
0,7,"(1, 6, 3, 8, 2, 4, 5, 9, 0)","(14, 2, 4, 12, 20, 16, 3, 2, 9)"
0,8,"(5,)","(1,)"
0,9,"(2, 5, 6, 4)","(13, 3, 17, 19)"
1,0,"(4,)","(13,)"
1,1,"(9, 7, 3, 1, 8, 4)","(1, 4, 15, 20, 7, 20)"
1,2,"(5,)","(17,)"
1,3,"(1, 3, 0, 7, 6, 5, 4, 8)","(8, 11, 11, 4, 7, 10, 8, 20)"
1,4,"(3, 2, 7, 5, 9, 0, 8, 1, 6, 4)","(9, 19, 10, 16, 5, 8, 3, 16, 19, 9)"
1,5,"(4, 7, 0, 1, 8, 6, 2, 5)","(4, 19, 7, 4, 6, 4, 8, 2)"
1,6,"(2, 4, 9, 5, 7, 1, 8, 3, 0, 6)","(16, 10, 18, 3, 15, 6, 4, 6, 6, 3)"
2,0,"(5, 7, 0, 6, 1)","(2, 15, 8, 20, 20)"
2,1,"(1, 9, 3, 0, 6, 5, 7, 4)","(18, 6, 14, 1, 2, 4, 7, 8)"
2,2,"(8, 7, 5, 3, 9)","(12, 12, 9, 2, 9)"
2,3,"(1, 3, 6, 5, 8, 7)","(17, 10, 16, 7, 7, 16)"
2,4,"(4, 5, 6, 2, 3, 0, 7, 1, 8, 9)","(9, 9, 6, 17, 6, 6, 10, 13, 3, 15)"
2,5,"(7, 8, 0)","(17, 20, 2)"
2,6,"(9, 5, 8, 4, 6, 3, 2, 1, 0)","(4, 5, 8, 8, 17, 2, 13, 13, 13)"
3,0,"(1, 7, 4, 9, 8, 0, 5, 6, 2)","(15, 19, 18, 13, 17, 19, 20, 14, 7)"
3,1,"(8, 0, 6, 5, 2)","(7, 20, 18, 17, 3)"
3,2,"(5, 0, 4, 7, 9, 1, 6, 2, 8)","(17, 6, 6, 7, 17, 3, 1, 9, 5)"
3,3,"(4,)","(7,)"
3,4,"(2, 7, 9, 4, 8, 3, 0)","(18, 4, 4, 17, 20, 4, 6)"
4,0,"(8, 9, 7, 6)","(12, 3, 16, 10)"
4,1,"(7, 2, 4, 8, 0, 3, 6, 1, 9)","(15, 19, 14, 4, 2, 19, 9, 7, 2)"
4,2,"(6, 0, 2, 9)","(7, 1, 19, 20)"
4,3,"(0, 6, 4, 7, 8, 3, 5, 9, 2, 1)","(16, 9, 1, 3, 7, 10, 7, 8, 8, 13)"
4,4,"(8, 1, 4, 9, 6, 7, 2, 3, 5)","(17, 12, 11, 14, 7, 6, 15, 13, 15)"
4,5,"(3, 9, 2, 6, 8)","(5, 8, 18, 5, 18)"
4,6,"(9, 0, 5, 8)","(2, 1, 7, 3)"
4,7,"(7, 0, 2, 6, 8)","(1, 12, 3, 6, 7)"
5,0,"(2, 0, 3, 9, 7, 5, 1, 4)","(6, 16, 17, 16, 6, 19, 6, 10)"
5,1,"(3, 1, 7)","(16, 16, 14)"
5,2,"(1, 3, 5, 4, 0, 6)","(4, 7, 1, 11, 9, 12)"
5,3,"(8, 3, 6)","(7, 15, 18)"
5,4,"(1, 6, 3)","(13, 11, 2)"
5,5,"(0, 3, 1, 5, 9)","(2, 6, 12, 14, 3)"
5,6,"(8, 6, 9, 2, 1, 5)","(9, 8, 2, 11, 14, 6)"
5,7,"(4, 6)","(10, 4)"
5,8,"(4, 9, 0, 6, 1, 5, 3)","(6, 16, 10, 5, 15, 8, 10)"
5,9,"(3, 0, 6)","(4, 11, 20)"
6,0,"(5, 0, 1, 9, 8, 6, 7)","(12, 6, 16, 15, 14, 15, 20)"
6,1,"(4, 0, 7, 3, 9, 6, 5, 1)","(20, 1, 15, 20, 5, 14, 17, 15)"
6,2,"(0, 8, 5, 3, 7, 1, 2, 6, 4)","(12, 11, 9, 2, 12, 12, 9, 18, 15)"
6,3,"(5, 2, 0, 7, 9, 8, 1, 4, 3)","(17, 17, 15, 4, 7, 1, 11, 5, 7)"
