kind,task,machine_selectable,process_time,power
0,0,"(11, 10, 3, 4, 14, 17, 6, 5, 8, 1, 2, 12, 15)","(6, 14, 12, 2, 18, 18, 20, 5, 19, 16, 11, 20, 7)","(40, 67, 30, 184, 166, 85, 105, 23, 73, 92, 37, 69, 190)"
0,1,"(16, 2, 18, 15, 9, 0, 17, 6, 4, 12, 14, 5, 7)","(15, 2, 11, 19, 13, 7, 9, 16, 6, 9, 12, 16, 13)","(95, 73, 76, 168, 158, 24, 83, 139, 153, 69, 161, 168, 191)"
0,2,"(14, 7, 0)","(2, 4, 4)","(186, 55, 73)"
0,3,"(2, 3, 8, 19, 5, 1, 15, 4, 9, 16, 14, 13, 7, 18, 12, 0, 6)","(18, 1, 7, 5, 10, 6, 3, 19, 7, 20, 7, 17, 12, 5, 13, 8, 19)","(157, 63, 158, 11, 76, 146, 12, 198, 157, 15, 118, 77, 43, 35, 13, 103, 89)"
0,4,"(4, 2, 12, 3, 6, 9, 8, 1, 14, 13, 18, 15, 11, 0, 7)","(14, 10, 2, 7, 1, 17, 3, 5, 13, 13, 9, 12, 15, 13, 12)","(45, 134, 18, 84, 57, 183, 126, 16, 28, 16, 21, 171, 130, 122, 193)"
0,5,"(6, 5, 1, 4, 11, 15, 17, 9, 18)","(2, 2, 1, 19, 12, 11, 16, 1, 12)","(160, 56, 198, 48, 126, 17, 195, 54, 45)"
0,6,"(5, 7, 6, 3)","(4, 17, 5, 15)","(148, 35, 42, 105)"
1,0,"(7, 5, 6, 19, 14, 18, 12, 11, 9, 4, 0, 2)","(15, 14, 4, 6, 7, 17, 12, 16, 4, 2, 16, 7)","(89, 139, 92, 172, 190, 191, 172, 16, 65, 140, 79, 129)"
1,1,"(19, 7, 13, 8, 1, 9, 17, 6, 12, 5, 15, 16, 14, 11, 3, 18, 10, 2, 4)","(8, 12, 15, 11, 10, 19, 8, 19, 2, 6, 13, 20, 6, 10, 15, 12, 18, 12, 17)","(45, 55, 77, 26, 190, 60, 45, 33, 178, 23, 189, 37, 117, 196, 143, 34, 158, 138, 141)"
1,2,"(1, 15, 7, 18, 0, 6, 5, 11, 17, 14, 19, 13)","(10, 10, 15, 14, 10, 1, 19, 20, 15, 8, 14, 19)","(69, 83, 18, 89, 139, 74, 131, 73, 65, 118, 162, 111)"
1,3,"(12, 19, 15, 17, 8, 16)","(3, 13, 6, 6, 15, 19)","(126, 168, 177, 136, 130, 66)"
1,4,"(15, 8, 6)","(6, 19, 18)","(74, 79, 70)"
1,5,"(18, 8, 3)","(13, 5, 4)","(131, 194, 73)"
1,6,"(10, 9, 15, 14, 6, 11, 3, 18, 8, 7, 0, 17, 4, 16, 12, 2, 13, 19, 5, 1)","(9, 13, 13, 20, 8, 4, 15, 10, 5, 10, 14, 20, 8, 13, 15, 2, 5, 16, 15, 14)","(130, 147, 167, 154, 114, 21, 65, 24, 154, 142, 199, 77, 171, 66, 72, 166, 95, 195, 42, 184)"
1,7,"(19, 13, 8)","(6, 4, 12)","(160, 146, 49)"
1,8,"(9, 1, 19, 6, 18, 14, 17, 10, 16, 2, 7, 12, 11, 13, 8)","(18, 19, 19, 11, 8, 17, 3, 20, 8, 9, 15, 11, 16, 8, 6)","(46, 189, 45, 41, 101, 150, 85, 188, 62, 75, 174, 183, 86, 176, 176)"
2,0,"(14, 6, 9, 3, 4, 13, 7, 17, 1, 19)","(3, 3, 12, 13, 1, 4, 5, 19, 5, 7)","(119, 72, 97, 167, 102, 24, 66, 91, 101, 104)"
2,1,"(10, 17, 11, 5, 8, 7, 13, 9, 14, 3, 0, 4, 19, 16, 15)","(18, 13, 5, 7, 1, 16, 16, 14, 5, 12, 18, 18, 10, 15, 8)","(52, 154, 66, 167, 28, 137, 191, 47, 25, 175, 134, 43, 69, 199, 75)"
2,2,"(4, 8, 17, 2, 10, 1, 11, 19, 5, 3, 18, 9, 13, 12, 16, 15)","(4, 1, 10, 13, 6, 1, 3, 4, 8, 5, 9, 20, 12, 8, 16, 19)","(11, 109, 134, 179, 108, 11, 11, 108, 123, 160, 51, 21, 185, 148, 45, 200)"
2,3,"(0, 12, 15, 4, 11, 9)","(6, 17, 8, 7, 14, 3)","(95, 77, 77, 117, 115, 15)"
2,4,"(4, 19, 7, 3, 5, 1, 6, 16, 15, 9, 10)","(9, 7, 2, 6, 12, 9, 13, 2, 6, 1, 5)","(100, 148, 54, 170, 156, 101, 163, 88, 11, 15, 41)"
2,5,"(10, 1, 16, 11, 13, 19, 7, 18, 2, 14, 8, 9, 3, 6, 15, 12, 5, 4, 17)","(1, 16, 19, 8, 13, 10, 4, 9, 11, 7, 12, 5, 2, 13, 10, 16, 8, 16, 8)","(12, 130, 51, 68, 79, 161, 118, 88, 91, 125, 169, 112, 105, 10, 177, 60, 150, 96, 124)"
3,0,"(15, 17, 10, 3, 19, 16, 8, 0, 4, 9, 12, 5, 14, 6, 2, 1, 18, 7, 13)","(20, 3, 10, 11, 19, 15, 3, 2, 7, 3, 10, 17, 15, 14, 11, 5, 11, 15, 5)","(117, 100, 101, 126, 132, 152, 179, 64, 15, 100, 13, 122, 91, 165, 21, 102, 65, 151, 137)"
3,1,"(3, 17, 4, 11, 12, 18, 15)","(14, 8, 15, 8, 18, 3, 7)","(22, 48, 118, 57, 58, 66, 191)"
3,2,"(18, 1, 16, 9, 13, 10, 0, 14, 11)","(19, 9, 7, 8, 15, 12, 12, 4, 1)","(48, 81, 45, 111, 113, 78, 43, 93, 59)"
3,3,"(6, 7, 1, 5, 2, 13, 11, 10, 17, 9, 14, 8)","(3, 17, 8, 12, 17, 11, 9, 10, 8, 10, 12, 7)","(182, 157, 33, 189, 37, 76, 115, 190, 199, 26, 173, 31)"
3,4,"(16,)","(1,)","(182,)"
4,0,"(15, 11, 0, 6, 10, 7)","(9, 17, 3, 2, 8, 16)","(200, 163, 167, 128, 59, 86)"
