kind,task,machine_selectable,process_time,power
0,0,"(13,)","(1,)","(102,)"
0,1,"(13,)","(20,)","(175,)"
0,2,"(11, 8, 4, 3, 1, 5, 13, 12)","(11, 15, 5, 17, 12, 4, 7, 18)","(135, 102, 37, 27, 54, 140, 120, 71)"
0,3,"(12, 6, 10, 5, 14, 4, 13, 8, 1, 11)","(20, 11, 3, 10, 9, 14, 14, 9, 10, 8)","(136, 24, 23, 173, 169, 157, 113, 12, 100, 190)"
0,4,"(6, 7)","(4, 12)","(79, 34)"
0,5,"(14, 1, 13, 11, 0, 6, 12, 8, 5, 9, 2, 4, 3)","(5, 14, 4, 13, 18, 8, 15, 6, 15, 18, 19, 15, 9)","(190, 149, 98, 166, 93, 95, 190, 30, 100, 36, 141, 113, 116)"
0,6,"(4, 7, 8, 13, 0, 9, 14, 2, 6, 5, 1, 11, 12)","(18, 13, 7, 2, 8, 8, 13, 6, 17, 16, 3, 1, 18)","(162, 125, 92, 12, 153, 91, 83, 38, 196, 174, 109, 75, 36)"
0,7,"(8, 4, 2, 10, 0, 11, 14, 3, 5, 6, 9, 12, 1, 7, 13)","(19, 3, 7, 17, 13, 4, 3, 8, 17, 17, 14, 16, 19, 6, 13)","(36, 127, 13, 148, 40, 184, 21, 25, 12, 96, 109, 122, 46, 143, 109)"
0,8,"(13, 1, 6, 9, 3, 8, 14, 11, 10, 2)","(8, 6, 8, 4, 1, 20, 17, 6, 13, 4)","(68, 168, 178, 196, 27, 18, 49, 140, 129, 73)"
1,0,"(8, 1, 0, 5, 7, 3, 4, 2, 9, 12, 6, 14, 13)","(10, 13, 13, 13, 17, 14, 10, 9, 6, 1, 9, 15, 12)","(112, 167, 29, 68, 145, 84, 183, 62, 194, 142, 137, 40, 144)"
1,1,"(10, 12, 13, 4)","(14, 4, 2, 2)","(163, 60, 45, 59)"
1,2,"(9, 1, 13)","(1, 13, 19)","(191, 119, 108)"
1,3,"(12, 8, 14, 1, 10, 9, 11, 3, 5, 7, 4, 0)","(14, 11, 11, 3, 15, 4, 13, 7, 18, 2, 6, 14)","(176, 20, 112, 80, 165, 117, 109, 187, 16, 182, 15, 112)"
1,4,"(13, 11, 9, 0, 5, 12, 3, 4, 2, 14, 6)","(8, 20, 3, 10, 8, 20, 5, 9, 2, 5, 3)","(139, 155, 62, 122, 23, 94, 179, 58, 27, 54, 89)"
1,5,"(8, 4, 14, 11, 9, 7, 2)","(18, 18, 9, 5, 6, 15, 9)","(191, 119, 104, 77, 18, 118, 186)"
1,6,"(11,)","(10,)","(93,)"
2,0,"(6, 5, 12, 0, 10, 11, 3, 2, 7, 13, 9, 1, 8, 14, 4)","(15, 14, 4, 11, 16, 19, 8, 1, 5, 14, 16, 5, 15, 16, 14)","(58, 147, 28, 69, 88, 124, 95, 26, 170, 28, 75, 189, 195, 12, 189)"
