kind,task,machine_selectable,process_time
0,0,"(7, 15)","(16, 7)"
0,1,"(14, 0, 9)","(5, 9, 18)"
0,2,"(9, 7, 16, 2, 3, 19, 5)","(11, 17, 14, 14, 6, 17, 12)"
0,3,"(17, 15)","(5, 14)"
0,4,"(5, 12, 14, 15, 8, 16, 18, 17, 9)","(17, 2, 6, 12, 12, 12, 4, 14, 5)"
0,5,"(5, 9, 7, 13, 6, 12, 4, 14, 3, 15, 2, 8, 11, 0, 16, 10, 1)","(9, 12, 18, 1, 18, 2, 19, 11, 10, 12, 12, 1, 1, 1, 18, 14, 2)"
1,0,"(3, 17, 15, 7)","(17, 2, 3, 12)"
1,1,"(15, 11, 8, 1, 9, 10, 4, 3, 5, 16, 19, 0, 14, 7, 18)","(11, 2, 15, 11, 16, 11, 10, 10, 19, 1, 11, 4, 13, 14, 8)"
1,2,"(12,)","(5,)"
1,3,"(3, 4, 1, 5, 10, 11, 12, 17, 13, 18, 2)","(11, 6, 18, 12, 1, 15, 18, 14, 3, 2, 5)"
1,4,"(14, 9, 12, 13, 2, 8, 7, 3, 0)","(6, 14, 6, 18, 6, 2, 9, 15, 12)"
1,5,"(6,)","(4,)"
1,6,"(6, 14)","(2, 9)"
2,0,"(13, 0, 14, 2, 17, 1, 12, 5, 19, 10, 9, 18, 7, 6, 16, 3, 4)","(5, 15, 15, 10, 7, 11, 8, 19, 10, 20, 17, 3, 2, 13, 17, 3, 18)"
2,1,"(12,)","(12,)"
2,2,"(19, 16, 18, 3, 6, 2, 0, 8, 7, 9)","(15, 17, 8, 1, 7, 1, 5, 20, 16, 9)"
2,3,"(14, 9, 10, 3, 4, 16, 7, 8)","(15, 17, 1, 16, 13, 19, 20, 14)"
2,4,"(6, 7, 19, 9, 1, 10, 0, 17, 11, 4, 12, 2, 16, 14, 5, 8, 18)","(20, 12, 12, 20, 6, 9, 5, 19, 6, 9, 6, 9, 1, 1, 17, 14, 5)"
3,0,"(12, 18, 0, 7, 4, 10, 17, 16, 14, 11, 2, 5)","(12, 2, 20, 4, 11, 13, 15, 14, 18, 16, 10, 9)"
3,1,"(9, 5, 14, 6, 13, 17, 2, 0, 15, 18)","(11, 7, 16, 1, 19, 18, 16, 19, 12, 1)"
3,2,"(12, 18, 9, 13, 0, 19, 3, 4, 17, 15, 14, 7)","(17, 5, 20, 18, 16, 3, 7, 5, 16, 6, 16, 5)"
3,3,"(18, 12, 4, 17, 16, 5, 10, 11, 6, 0, 1, 8, 3)","(11, 2, 4, 9, 8, 10, 12, 10, 1, 18, 10, 7, 8)"
3,4,"(11, 18, 9, 15, 10, 14)","(9, 20, 8, 13, 3, 7)"
4,0,"(8, 16, 3, 18, 7, 9)","(18, 17, 14, 17, 11, 12)"
4,1,"(18, 9, 3, 4, 15, 1)","(19, 17, 16, 3, 4, 18)"
4,2,"(8, 7, 5, 11, 10, 4, 6, 2)","(2, 16, 12, 2, 16, 8, 1, 11)"
4,3,"(17, 5, 1, 15, 12, 4, 11, 16, 3, 7, 8, 18, 0, 14, 2, 10, 9)","(7, 4, 4, 12, 11, 9, 16, 4, 2, 9, 1, 13, 18, 12, 9, 12, 5)"
4,4,"(1, 3, 4, 7, 16, 18, 6)","(4, 5, 15, 16, 11, 9, 8)"
4,5,"(17, 3, 13)","(3, 10, 9)"
4,6,"(1, 14, 17, 10, 0, 2, 9, 11, 5, 7)","(8, 10, 13, 15, 5, 7, 5, 13, 6, 12)"
4,7,"(15, 13, 8, 3, 4, 17)","(18, 7, 16, 5, 5, 19)"
4,8,"(3, 8, 17, 13, 4, 19, 1, 6, 0, 10, 15, 11)","(13, 4, 16, 6, 6, 3, 3, 7, 17, 8, 2, 13)"
4,9,"(7, 4, 2, 16, 9, 11)","(8, 3, 8, 8, 4, 17)"
