kind,task,machine_selectable,process_time,power
0,0,"(3, 12, 1, 13, 5, 2)","(10, 16, 20, 5, 20, 13)","(192, 153, 17, 65, 133, 87)"
0,1,"(9, 14, 5)","(10, 16, 16)","(30, 58, 68)"
0,2,"(11, 10, 1, 3, 0, 5, 9, 8, 7, 13, 14, 6)","(3, 3, 9, 13, 4, 20, 16, 14, 5, 20, 14, 1)","(60, 112, 53, 116, 157, 183, 196, 104, 159, 53, 136, 162)"
0,3,"(3, 5, 0, 9, 10, 6, 1, 2, 12, 4)","(10, 9, 13, 3, 5, 18, 15, 16, 1, 16)","(189, 163, 114, 182, 20, 132, 29, 83, 42, 66)"
0,4,"(0, 1, 3, 2, 10, 14, 9, 5, 13, 11, 4, 12)","(1, 14, 19, 19, 10, 9, 8, 18, 18, 19, 9, 7)","(93, 80, 137, 43, 190, 40, 152, 135, 138, 169, 95, 71)"
0,5,"(5, 10, 3, 0)","(1, 3, 16, 5)","(83, 37, 89, 91)"
0,6,"(8, 13, 4, 12, 5)","(16, 14, 12, 7, 8)","(165, 135, 38, 15, 180)"
0,7,"(1, 13, 9, 0, 5, 3, 12, 2, 6, 11, 4, 10, 8)","(2, 9, 5, 3, 9, 18, 7, 15, 10, 3, 5, 8, 6)","(179, 177, 115, 131, 80, 65, 134, 117, 21, 27, 101, 72, 97)"
0,8,"(7, 1, 5, 6, 9, 4, 3, 8, 13, 14, 2)","(7, 4, 9, 5, 19, 2, 13, 16, 4, 13, 11)","(63, 51, 117, 129, 166, 15, 129, 117, 53, 99, 45)"
1,0,"(7, 4, 2, 12, 0, 3, 8, 6, 13, 5)","(2, 2, 8, 1, 7, 10, 14, 14, 13, 9)","(163, 186, 118, 198, 134, 122, 161, 46, 152, 42)"
1,1,"(13, 4)","(13, 3)","(78, 92)"
1,2,"(12, 11, 8, 1, 10, 0, 9, 5, 2, 4, 13, 7)","(4, 5, 17, 20, 12, 2, 14, 16, 17, 20, 10, 20)","(44, 48, 18, 52, 172, 50, 78, 164, 134, 94, 11, 39)"
1,3,"(1, 8, 3, 11, 12)","(13, 5, 5, 17, 8)","(178, 38, 78, 76, 38)"
1,4,"(6, 12, 8, 14, 2, 3, 0, 10, 4, 13, 9, 5, 11, 7, 1)","(4, 20, 13, 8, 4, 11, 17, 19, 19, 13, 16, 5, 3, 14, 10)","(32, 113, 12, 146, 116, 72, 41, 16, 162, 102, 81, 48, 14, 30, 170)"
1,5,"(9, 7, 4, 10, 3, 6, 14)","(19, 12, 4, 16, 1, 20, 18)","(27, 52, 126, 22, 86, 27, 143)"
2,0,"(6, 7)","(10, 12)","(44, 135)"
2,1,"(1, 13, 14)","(19, 10, 11)","(51, 180, 166)"
2,2,"(11, 7, 14, 9)","(18, 7, 14, 16)","(50, 91, 174, 36)"
2,3,"(8, 3, 9, 12, 0, 5, 2, 13, 10, 4, 1, 7)","(1, 10, 12, 7, 16, 7, 6, 6, 10, 17, 2, 2)","(185, 168, 62, 127, 196, 123, 168, 69, 175, 106, 93, 121)"
