kind,task,machine_selectable,process_time
0,0,"(9, 8, 2)","(5, 19, 19)"
0,1,"(9, 0, 5, 4, 2, 3, 6, 7, 8)","(9, 9, 10, 19, 4, 20, 7, 12, 9)"
0,2,"(7, 5, 6, 2, 9, 3, 0)","(14, 1, 6, 18, 12, 11, 20)"
0,3,"(0, 7, 8, 1, 2, 3, 4, 6, 9, 5)","(3, 2, 13, 3, 9, 6, 18, 1, 5, 14)"
0,4,"(2, 7, 3, 0, 6, 4, 5, 1, 9, 8)","(20, 16, 1, 8, 16, 17, 15, 2, 8, 8)"
0,5,"(3, 2, 1, 4, 7, 5)","(5, 13, 17, 12, 8, 17)"
0,6,"(1, 0, 4, 2, 7, 9, 8, 3, 5)","(11, 4, 20, 19, 18, 10, 6, 2, 20)"
0,7,"(1, 9, 8, 2, 5, 7)","(3, 10, 12, 6, 18, 9)"
1,0,"(4, 1, 0, 9, 2, 5, 3)","(2, 8, 4, 13, 17, 8, 11)"
1,1,"(3, 1, 8)","(15, 11, 5)"
1,2,"(4, 9, 1, 8, 2)","(5, 8, 18, 18, 14)"
1,3,"(3, 8, 9, 5)","(10, 3, 13, 5)"
1,4,"(2, 7, 8, 0, 5, 4, 3, 6, 9)","(14, 2, 13, 16, 12, 13, 12, 12, 1)"
2,0,"(5, 8)","(20, 7)"
2,1,"(1,)","(17,)"
2,2,"(3, 1, 9)","(17, 14, 14)"
2,3,"(8, 6, 3, 9, 2, 4, 0, 5, 1)","(19, 17, 6, 10, 3, 9, 17, 3, 4)"
2,4,"(4, 9, 6, 7)","(6, 19, 3, 11)"
3,0,"(6, 0, 3)","(17, 2, 20)"
3,1,"(6, 3, 2, 5, 1, 7, 0, 8)","(12, 16, 18, 4, 17, 4, 11, 3)"
3,2,"(1, 8, 0, 9, 2, 4)","(1, 5, 1, 14, 6, 16)"
3,3,"(6, 4, 3, 5, 0, 9, 7, 2)","(7, 12, 14, 1, 8, 20, 11, 19)"
3,4,"(7, 1, 9, 4, 3, 2, 8)","(17, 5, 5, 13, 1, 13, 10)"
3,5,"(6, 5, 0, 8, 4, 7, 2)","(18, 5, 11, 17, 20, 19, 10)"
3,6,"(0, 7, 8, 9, 1, 4)","(1, 4, 12, 12, 19, 3)"
3,7,"(6, 7, 4, 3, 8, 9)","(16, 13, 17, 15, 4, 14)"
4,0,"(8, 6, 0, 7, 9, 4, 2, 3, 1, 5)","(8, 14, 5, 18, 19, 2, 17, 7, 20, 13)"
4,1,"(6, 8, 3, 9)","(15, 4, 14, 16)"
4,2,"(2, 0, 3)","(20, 6, 10)"
4,3,"(2, 6, 9, 3, 7, 0, 1, 8, 5, 4)","(20, 8, 1, 16, 4, 11, 12, 20, 13, 11)"
4,4,"(9,)","(17,)"
4,5,"(5, 7, 2, 6, 0, 4, 1, 9)","(11, 2, 8, 17, 20, 16, 9, 10)"
4,6,"(6, 0, 4)","(15, 11, 12)"
4,7,"(9,)","(10,)"
5,0,"(3, 0, 5, 6, 7)","(5, 13, 1, 11, 18)"
5,1,"(7, 5, 1)","(5, 2, 17)"
5,2,"(7, 0)","(15, 13)"
5,3,"(1, 5, 0, 6, 2, 3, 4, 8, 7)","(1, 1, 20, 3, 16, 4, 13, 19, 13)"
5,4,"(5, 0, 6, 8, 2, 1, 4, 7, 9)","(17, 17, 4, 18, 6, 18, 13, 16, 16)"
6,0,"(7, 0, 5)","(12, 13, 12)"
6,1,"(4,)","(10,)"
6,2,"(2, 6, 8, 1, 9)","(10, 10, 12, 6, 14)"
6,3,"(3, 7, 2, 4, 6, 1, 9, 8, 5, 0)","(2, 8, 1, 1, 14, 8, 9, 7, 17, 3)"
6,4,"(7, 0, 6, 1, 3, 5)","(3, 6, 5, 10, 10, 6)"
6,5,"(0, 4)","(2, 5)"
6,6,"(5, 3, 7, 8, 0, 6, 2, 9, 1)","(16, 5, 17, 11, 6, 7, 13, 12, 10)"
6,7,"(9, 6, 8, 4, 1, 0, 2, 5)","(19, 9, 5, 2, 5, 18, 8, 6)"
6,8,"(1, 0)","(8, 14)"
7,0,"(2, 4)","(18, 17)"
7,1,"(5, 1, 8)","(1, 7, 2)"
7,2,"(9, 7, 1, 2, 4, 3, 8, 6, 0)","(9, 2, 11, 12, 3, 4, 3, 12, 12)"
7,3,"(1,)","(14,)"
7,4,"(0, 9, 7, 6, 5, 8, 2, 4)","(3, 17, 4, 11, 4, 12, 11, 10)"
7,5,"(1, 9, 4, 2, 3, 6, 7, 5, 0, 8)","(15, 2, 11, 15, 9, 1, 11, 8, 4, 18)"
7,6,"(7, 0, 2, 3, 9, 8)","(18, 15, 16, 8, 1, 6)"
7,7,"(3, 9)","(6, 16)"
7,8,"(8, 6, 7, 0, 5, 1, 4, 2, 9, 3)","(9, 9, 8, 14, 5, 8, 7, 10, 2, 20)"
8,0,"(8, 1, 2, 3, 5, 9, 7)","(2, 14, 17, 1, 10, 6, 11)"
8,1,"(7, 4, 5, 1)","(15, 3, 3, 4)"
8,2,"(4, 6, 7, 5, 0)","(20, 4, 17, 15, 10)"
8,3,"(3, 7, 6, 4)","(3, 7, 12, 12)"
8,4,"(5, 7, 9, 4, 6)","(6, 7, 9, 11, 10)"
8,5,"(4, 6, 8, 7, 9, 2)","(9, 6, 3, 1, 19, 20)"
8,6,"(2, 4, 9, 7, 6, 0, 5, 8)","(8, 13, 20, 12, 1, 5, 1, 10)"
9,0,"(8, 7, 6, 2)","(14, 8, 7, 4)"
9,1,"(3,)","(11,)"
9,2,"(9, 6, 3, 2, 4)","(6, 9, 9, 14, 12)"
9,3,"(6, 2, 4, 0, 1, 8, 3)","(2, 5, 20, 9, 12, 4, 12)"
9,4,"(8, 0, 3, 1, 4, 5, 7)","(13, 6, 16, 18, 10, 8, 18)"
